"MTurkCode","listNum","total_goal","variable","rating","goal"
30600,1,1,"construal_level",3,"1"
81705,3,3,"construal_level",6,"1"
63885,2,2,"construal_level",1,"1"
26913,3,2,"construal_level",4,"1"
42161,4,4,"construal_level",5,"1"
84412,2,2,"construal_level",6,"1"
92415,4,4,"construal_level",4,"1"
51306,3,3,"construal_level",5,"1"
25224,3,3,"construal_level",3,"1"
12425,3,3,"construal_level",5,"1"
42560,2,2,"construal_level",6,"1"
67994,3,3,"construal_level",5,"1"
73451,3,3,"construal_level",7,"1"
38491,2,2,"construal_level",5,"1"
62166,2,2,"construal_level",4,"1"
59413,3,3,"construal_level",2,"1"
28254,3,3,"construal_level",7,"1"
70471,3,2,"construal_level",6,"1"
67967,2,2,"construal_level",6,"1"
87239,4,3,"construal_level",4,"1"
80450,3,3,"construal_level",4,"1"
46220,5,5,"construal_level",3,"1"
98582,5,5,"construal_level",3,"1"
47834,2,3,"construal_level",7,"1"
12296,3,3,"construal_level",6,"1"
38246,3,3,"construal_level",5,"1"
85133,4,4,"construal_level",5,"1"
91955,2,2,"construal_level",7,"1"
65521,2,2,"construal_level",1,"1"
69652,3,3,"construal_level",7,"1"
93470,3,3,"construal_level",4,"1"
85353,4,4,"construal_level",7,"1"
98405,3,3,"construal_level",2,"1"
30384,2,2,"construal_level",6,"1"
10933,1,1,"construal_level",6,"1"
39168,3,3,"construal_level",4,"1"
34512,3,3,"construal_level",3,"1"
31475,3,4,"construal_level",6,"1"
63745,3,3,"construal_level",6,"1"
12475,3,3,"construal_level",1,"1"
79732,3,3,"construal_level",2,"1"
22906,4,4,"construal_level",4,"1"
53898,3,5,"construal_level",4,"1"
75798,3,3,"construal_level",3,"1"
85424,5,5,"construal_level",2,"1"
78487,3,3,"construal_level",4,"1"
69242,2,2,"construal_level",2,"1"
58948,3,3,"construal_level",6,"1"
63241,3,3,"construal_level",4,"1"
33635,1,1,"construal_level",3,"1"
62486,3,3,"construal_level",6,"1"
25482,3,3,"construal_level",1,"1"
37472,3,3,"construal_level",4,"1"
81005,3,3,"construal_level",4,"1"
32371,2,2,"construal_level",4,"1"
87159,3,2,"construal_level",4,"1"
23348,3,3,"construal_level",4,"1"
43627,4,4,"construal_level",6,"1"
82737,3,3,"construal_level",1,"1"
15045,3,4,"construal_level",4,"1"
21212,4,4,"construal_level",7,"1"
12568,3,3,"construal_level",3,"1"
61492,3,4,"construal_level",4,"1"
97247,2,2,"construal_level",6,"1"
92357,5,7,"construal_level",7,"1"
21924,3,3,"construal_level",1,"1"
95193,5,6,"construal_level",5,"1"
55333,3,3,"construal_level",3,"1"
47532,2,2,"construal_level",6,"1"
85079,3,3,"construal_level",7,"1"
66597,5,4,"construal_level",4,"1"
67366,5,5,"construal_level",99,"1"
41337,3,2,"construal_level",5,"1"
47407,5,5,"construal_level",1,"1"
56787,3,3,"construal_level",5,"1"
94107,5,6,"construal_level",4,"1"
31413,3,3,"construal_level",4,"1"
51752,5,3,"construal_level",1,"1"
82479,2,2,"construal_level",4,"1"
12118,4,4,"construal_level",1,"1"
71387,2,2,"construal_level",5,"1"
41652,2,3,"construal_level",3,"1"
96044,3,3,"construal_level",4,"1"
95300,2,2,"construal_level",4,"1"
81263,5,13,"construal_level",1,"1"
42084,3,3,"construal_level",3,"1"
61166,4,3,"construal_level",6,"1"
19125,5,4,"construal_level",6,"1"
35126,5,3,"construal_level",7,"1"
59400,4,4,"construal_level",4,"1"
12116,5,5,"construal_level",3,"1"
31288,3,3,"construal_level",7,"1"
30817,3,3,"construal_level",1,"1"
43005,3,2,"construal_level",5,"1"
78783,2,2,"construal_level",5,"1"
83652,3,3,"construal_level",1,"1"
20570,3,3,"construal_level",4,"1"
22795,5,6,"construal_level",1,"1"
58501,3,3,"construal_level",2,"1"
53517,3,2,"construal_level",7,"1"
21447,5,5,"construal_level",4,"1"
38260,1,1,"construal_level",7,"1"
83895,2,2,"construal_level",4,"1"
22137,2,3,"construal_level",5,"1"
72750,5,5,"construal_level",4,"1"
77553,2,2,"construal_level",7,"1"
99523,5,5,"construal_level",7,"1"
26763,3,2,"construal_level",99,"1"
88223,5,5,"construal_level",6,"1"
57498,5,40,"construal_level",5,"1"
