"","affordance","attainability","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commonality","conflict","connectedness","construal_level","control","difficulty","external_importance","external_motivation","ideal_motivation","identified_motivation","importance","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","ought_motivation","social_desirability","specificity","visibility"
"affordance",1,0.292080346367079,0.121212410129766,0.13408124131816,0.0820492700413221,0.365893386064228,-0.00694843721351963,-0.208555021840721,0.0359190537395288,0.100733785440285,0.179237587443472,-0.117296542432291,0.157488896967877,0.0308599194273073,0.142834207978421,0.134805125749953,0.18688364471541,0.102768497047445,0.130016102720687,-0.0281608208631978,0.17762887081043,0.140040137167737,0.0349910749670712,0.145340655883372,0.140068767619283,0.159248077737627
"attainability",0.292080346367079,1,0.165971503969659,0.167681157573278,0.056263479877752,0.410198130620594,-0.0539831721052333,-0.115431488877018,0.0752947687782004,0.100354709282479,0.129213253163703,-0.290669504159026,0.0795033082948784,0.052403935537854,0.0375963315964267,0.216812915916758,0.245514336565891,0.0930060226887883,0.157763977203842,-0.00262734544436516,0.197839276162688,0.163251869500657,-0.0581299492154247,0.127173994325285,0.1551594298772,0.212860059236956
"attractiveness_achievement",0.121212410129766,0.165971503969659,1,0.702323111462713,0.22139963591938,0.18072771467218,0.0855505438708532,-0.0821704484876281,0.137511635857915,0.32383257294565,0.119156450849504,0.253476274412412,0.277484428993403,0.0625658552352969,0.381839104110642,0.465181768538451,0.54076044339988,0.285166591480653,0.0868660458660137,0.111594270349621,0.286084792491405,0.158547835045564,0.0371503438436823,0.246943717912584,0.234556414942657,0.224932569195124
"attractiveness_progress",0.13408124131816,0.167681157573278,0.702323111462713,1,0.233124756144542,0.191296295280905,0.115846699519642,-0.0760222786841652,0.132285460400397,0.278027545525912,0.122714566750181,0.2551729169577,0.242080190217922,0.0786129051141283,0.352032737019012,0.464520397897301,0.520254749551901,0.293409506509012,0.080486696393182,0.118646015300252,0.29405589678454,0.141369209411523,0.0501840443737202,0.298126653693468,0.191906888230647,0.199059278184166
"basic_needs",0.0820492700413221,0.056263479877752,0.22139963591938,0.233124756144542,1,0.148445472663054,0.352007069652338,-0.114579365398762,0.260468718319592,0.175149864531499,0.115903938308415,0.116874721035496,0.161050649812917,0.126917652814933,0.339582750212192,0.342003893872931,0.339852202902061,0.341253567456819,-0.132181912640269,0.189510177213134,0.193149508157867,0.0565704298608796,0.0609219149943376,0.322967468610536,0.0807993231843596,0.0699507165079246
"clarity",0.365893386064228,0.410198130620594,0.18072771467218,0.191296295280905,0.148445472663054,1,0.0583639086108677,-0.125821764099172,0.0873213768595459,0.0575391930076185,0.257779882413536,-0.0963316056634274,0.00917140631963108,-0.0160147995702293,0.124335303273152,0.244722838042363,0.23888019415335,0.141549003659641,0.0670033565984565,0.0333509291013839,0.159723651840191,0.376624599220488,-0.00491713855736292,0.20206553450289,0.319996781245353,0.163093607553699
"commonality",-0.00694843721351963,-0.0539831721052333,0.0855505438708532,0.115846699519642,0.352007069652338,0.0583639086108677,1,-0.065855928433813,0.0880549330595143,0.0177012949787776,0.00313982964422879,0.0396134059498106,0.0743061304891573,0.0591674601314806,0.157567114979269,0.159642280414468,0.128810902562214,0.203284192130892,-0.134748666682999,0.172347145952889,0.0821657414977836,0.0216925011823038,0.165805212014795,0.433084344585476,-0.0476816057479105,0.0855283823136777
"conflict",-0.208555021840721,-0.115431488877018,-0.0821704484876281,-0.0760222786841652,-0.114579365398762,-0.125821764099172,-0.065855928433813,1,0.0779901608979103,0.0471941853366069,-0.114310570780785,0.09031528758026,0.0732282555108429,0.147619870262719,-0.0608149960009138,-0.0701274380837906,-0.00590325285186955,-0.0313826243217678,0.0466953980079909,0.217949758893623,0.0353476012030263,-0.112082607925029,0.203001195607246,-0.0714780657408811,-0.0586975727353078,0.0283144204356853
"connectedness",0.0359190537395288,0.0752947687782004,0.137511635857915,0.132285460400397,0.260468718319592,0.0873213768595459,0.0880549330595143,0.0779901608979103,1,0.0903699951013344,0.153298204531454,0.094859891181196,0.14023730241933,0.0779565113620972,0.225340794491488,0.203712197957234,0.225688167195843,0.498896694984776,-0.00382986436938123,0.152218533095533,0.207434106127202,0.0594746070812192,0.122074212372086,0.1371624603811,0.0425806663981247,0.0806692138276051
"construal_level",0.100733785440285,0.100354709282479,0.32383257294565,0.278027545525912,0.175149864531499,0.0575391930076185,0.0177012949787776,0.0471941853366069,0.0903699951013344,1,-0.0240284277942014,0.234349449751443,0.31834039413072,0.160420592500037,0.287044144431149,0.292286284316762,0.375937017074652,0.245301996281557,0.0987341997566729,0.143862904456547,0.327840854774726,-0.0514509659196754,0.102583787762589,0.149346466560186,0.0387721446873898,0.225377794977908
