"MTurkCode","goal","goalType","Value","External","Attainability","Consensus","Measurability","Instrumentality"
"A10LHWALI4BZPC",1,"recurrance",6.28571428571429,2.5,5.25,3,7,5
"A10LHWALI4BZPC",2,"short-term",3.42857142857143,2,4.5,2.25,7,3
"A10LHWALI4BZPC",3,"long-term",5.14285714285714,2,1.75,1.75,5.5,3.33333333333333
"A10LHWALI4BZPC",4,"recurrance",6.71428571428571,3,4.5,1.25,7,5.33333333333333
"A110BZSDZN7E16",1,"short-term",5.85714285714286,3,3,2.25,7,5
"A110BZSDZN7E16",2,"short-term",5.57142857142857,3.16666666666667,3.25,3.25,7,4
"A110BZSDZN7E16",3,"long-term",6,2.5,3.75,4.5,7,6
"A11F3MA5FWH6SJ",1,"recurrance",7,3.66666666666667,4,4.25,7,5.66666666666667
"A11F3MA5FWH6SJ",2,"recurrance",6.42857142857143,2.83333333333333,5.25,4,7,5.33333333333333
"A11F3MA5FWH6SJ",3,"short-term",6.14285714285714,2.83333333333333,2.75,1.75,4.5,3.66666666666667
"A11ILN5YSUDVG8",1,"recurrance",5.85714285714286,4.16666666666667,3.75,3,6.5,6
"A11ILN5YSUDVG8",2,"recurrance",5.85714285714286,3.83333333333333,4.25,2.25,6.5,6
"A11ILN5YSUDVG8",3,"long-term",6.28571428571429,4,2.75,2.75,5,6
"A121T4P5NKCHCS",1,"short-term",6,4.5,4.5,3.25,6.5,5.66666666666667
"A121T4P5NKCHCS",2,"short-term",6.28571428571429,3.33333333333333,3.5,2.75,7,4.66666666666667
"A121T4P5NKCHCS",3,"short-term",5.42857142857143,3.66666666666667,3,3,6.5,5.33333333333333
"A12JKSH2NE5W9N",1,"recurrance",6.57142857142857,4.66666666666667,3.75,4,6.5,6
"A12JKSH2NE5W9N",2,"long-term",6.28571428571429,4.66666666666667,3,2.75,7,5
"A132GRVDGXPJGY",1,"short-term",4.85714285714286,3.83333333333333,3.5,3.25,7,6.33333333333333
"A132GRVDGXPJGY",2,"short-term",6.42857142857143,3.66666666666667,2,4,5.5,4.66666666666667
"A132GRVDGXPJGY",3,"short-term",6.71428571428571,3.5,3.75,2,7,6.33333333333333
"A13FUEPWBCLBUY",1,"recurrance",6.14285714285714,2.66666666666667,4.75,3.25,7,6
"A13FUEPWBCLBUY",2,"recurrance",6.14285714285714,2.33333333333333,5,4.5,7,6.66666666666667
"A13O22EMG5ZVN0",1,"recurrance",4.28571428571429,4,1.75,2.25,4,5.33333333333333
"A13O22EMG5ZVN0",2,"recurrance",4,4.83333333333333,2,3.5,4,3.66666666666667
"A13O22EMG5ZVN0",3,"recurrance",4.28571428571429,4,2.5,2,3.5,4.33333333333333
"A13WTEQ06V3B6D",1,"recurrance",5.71428571428571,4.83333333333333,4.25,5,7,6.66666666666667
"A13WTEQ06V3B6D",2,"recurrance",6.14285714285714,5.33333333333333,2.75,4.75,4,6.66666666666667
"A13WTEQ06V3B6D",3,"short-term",5,2.66666666666667,4.75,1.25,7,4
"A1561P9VVA3C1C",1,"recurrance",5.42857142857143,2.33333333333333,2,3.5,7,4
"A1561P9VVA3C1C",2,"short-term",4.42857142857143,3.16666666666667,2.75,2.25,7,2.66666666666667
"A1561P9VVA3C1C",3,"long-term",5.85714285714286,3.83333333333333,0.75,4,6.5,4.66666666666667
"A15VI0QFR2YO50",1,"short-term",6.71428571428571,5,4.5,3.5,5.5,6
"A15VI0QFR2YO50",2,"short-term",6.71428571428571,3,4,4.25,6.5,5.66666666666667
"A160L76BFKQQ1Q",1,"recurrance",6.42857142857143,2.16666666666667,3.75,3,6,6.66666666666667
"A160L76BFKQQ1Q",2,"short-term",4.42857142857143,1.66666666666667,3.5,1.75,6,4.33333333333333
"A160L76BFKQQ1Q",3,"recurrance",7,NA,3,3.5,6.5,6.66666666666667
"A169WH54HMYS5Z",1,"recurrance",7,3,4.5,4.25,6.5,5
"A169WH54HMYS5Z",2,"recurrance",5.57142857142857,2.16666666666667,3,1,4.5,4.33333333333333
"A169WH54HMYS5Z",3,"recurrance",6.85714285714286,NA,3.25,4.25,7,5
"A16Z9FSSF1X74O",1,"recurrance",NA,4.33333333333333,3.75,5,7,6.33333333333333
"A16Z9FSSF1X74O",2,"long-term",4.71428571428571,1.66666666666667,2.75,4,5,5.66666666666667
"A16Z9FSSF1X74O",3,"short-term",5.14285714285714,1,3.5,1.25,5.5,5.66666666666667
"A16Z9FSSF1X74O",4,"recurrance",3,1.5,3.75,1,6.5,3
"A16Z9FSSF1X74O",5,"recurrance",6,5.5,5.25,2.5,5.5,3
"A1720HSKGQ41VJ",1,"short-term",5.42857142857143,3.83333333333333,2,3.75,7,3.33333333333333
"A1720HSKGQ41VJ",2,"short-term",6,2.33333333333333,3,3.5,6,4.33333333333333
"A1720HSKGQ41VJ",3,"long-term",3.71428571428571,5,2,3.5,7,4
"A1720HSKGQ41VJ",4,"recurrance",6,3.5,4,3.5,6.5,6
"A17KN7NAP48L4B",1,"short-term",5.42857142857143,2.66666666666667,4,3.75,7,5
"A17KN7NAP48L4B",2,"recurrance",4.57142857142857,2.5,4,3.75,7,6
"A17KN7NAP48L4B",3,"recurrance",4.71428571428571,2,3.25,4.25,5.5,6
"A18JNQE5GZQIX5",1,"recurrance",5.28571428571429,2.33333333333333,4.75,2.25,7,5
"A18JNQE5GZQIX5",2,"recurrance",5.28571428571429,3.16666666666667,3.5,3,5.5,3.66666666666667
"A18JNQE5GZQIX5",3,"long-term",5.57142857142857,2.66666666666667,4.25,1.5,7,5.66666666666667
"A18SXC3JEN1O0U",1,"recurrance",5.14285714285714,1.66666666666667,4.5,5,7,3.66666666666667
"A18SXC3JEN1O0U",2,"recurrance",5.14285714285714,2,4.25,5,3.5,3
"A196O7GQLD3S2J",1,"short-term",6.85714285714286,4.33333333333333,2.75,3,5.5,5.33333333333333
"A196O7GQLD3S2J",2,"recurrance",NA,1,3,0.75,7,5.66666666666667
"A196O7GQLD3S2J",3,"recurrance",5.28571428571429,3.5,3.25,2.75,5.5,2.66666666666667
"A198MSVO1VTAT5",1,"short-term",5.42857142857143,3.5,5.5,4.25,7,5.66666666666667
"A198MSVO1VTAT5",2,"short-term",5.71428571428571,4.33333333333333,5.25,4.25,7,5.33333333333333
"A198MSVO1VTAT5",3,"short-term",4.57142857142857,2.33333333333333,5.25,4.5,7,5.33333333333333
"A198MSVO1VTAT5",4,"short-term",4.71428571428571,3.5,5.25,3.5,7,4
"A19YQU3ZZ8USPO",1,"recurrance",4.42857142857143,2.33333333333333,4.25,0.5,5.5,6
"A19YQU3ZZ8USPO",2,"short-term",5,2.5,4.75,0.25,5.5,6.33333333333333
