"MTurkCode","listNum","total_goal","goal","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
10551,5,5,1,7,7,9,7,6,6,1,7,4,7,2,1,4,7,4,5,3,4,2,2,1,7,7,5,5,8,7,4,2,7,7,4,4,4,4,6,6,7,3,2,4
10551,5,5,2,6,7,8,1,6,6,7,7,7,7,1,1,1,7,5,5,3,4,1,3,1,7,7,5,7,6,4,1,4,7,7,5,2,3,5,6,7,4,NA,4,4
10551,5,5,3,5,7,8,5,5,6,5,7,7,7,2,1,4,6,5,4,3,NA,5,1,1,7,7,5,7,5,4,5,2,7,7,5,4,5,7,6,7,3,NA,4,7
10551,5,5,4,6,7,10,1,5,5,7,7,7,7,5,4,1,6,6,4,3,NA,4,1,1,7,7,7,7,8,7,1,5,7,7,5,4,2,7,6,7,7,NA,4,4
10551,5,5,5,7,7,9,7,6,6,1,7,7,1,2,1,5,7,7,4,NA,NA,1,1,2,7,4,7,7,5,3,7,4,4,4,4,1,2,7,7,4,7,3,4,5
10933,1,1,1,6,7,11,5,7,5,7,6,7,4,1,1,6,6,5,6,1,7,4,1,2,4,6,6,7,7,7,1,2,4,7,6,1,3,7,6,5,6,3,4,7
11469,2,2,1,6,6,9,2,5,5,6,5,6,5,2,6,5,7,4,6,1,3,2,1,1,6,6,6,5,6,4,5,2,4,6,6,2,4,5,6,6,6,3,4,6
11469,2,2,2,6,1,2,1,6,6,6,6,6,5,1,2,6,7,6,6,1,3,1,2,1,6,6,5,6,6,4,2,3,3,6,6,2,4,7,6,5,6,4,4,5
12030,4,4,1,7,7,4,7,6,6,1,7,4,3,1,2,1,7,5,4,3,1,1,2,1,7,7,3,5,6,5,6,1,6,7,4,1,5,3,7,6,7,1,4,1
12030,4,4,2,7,7,6,7,7,7,7,7,7,7,1,4,7,6,4,4,3,7,4,3,2,7,7,7,7,6,7,1,4,7,7,6,2,5,7,5,7,7,3,6,7
12030,4,4,3,5,7,7,6,5,6,7,7,5,7,2,1,2,7,3,2,3,NA,1,3,1,7,7,7,5,7,2,4,5,7,7,5,3,5,5,7,7,7,3,5,1
12030,4,4,4,3,4,3,5,6,6,7,3,4,6,1,3,1,7,6,1,2,NA,6,3,1,7,7,2,5,8,4,1,6,4,6,4,1,7,4,7,7,6,3,5,1
12116,5,5,1,5,7,9,7,7,7,7,6,7,7,4,1,3,7,5,6,3,2,2,3,1,7,7,6,7,5,5,2,6,5,7,4,3,5,7,6,7,7,3,7,4
12116,5,5,2,5,7,6,2,6,6,6,5,5,7,2,4,3,7,5,6,3,2,2,3,1,7,5,3,6,8,5,5,3,3,5,3,3,6,6,5,6,6,3,3,3
12116,5,5,3,5,7,5,5,6,6,4,3,5,2,2,1,1,7,6,3,2,NA,1,3,1,7,5,3,7,8,2,6,5,4,5,2,2,7,5,5,2,2,3,3,3
12116,5,5,4,5,7,6,1,5,5,2,5,5,2,2,4,1,7,3,5,2,NA,2,3,1,6,5,5,4,8,2,5,4,3,6,4,2,5,5,5,3,5,4,5,3
12116,5,5,5,5,6,10,2,6,6,6,6,6,6,4,5,2,6,5,5,3,NA,2,3,1,6,6,6,7,8,4,6,4,5,6,3,2,4,5,6,5,6,3,5,3
12118,4,4,1,7,7,11,6,6,6,4,7,7,7,1,5,1,7,3,4,3,7,1,1,2,4,7,7,7,6,5,1,1,7,7,7,4,5,7,7,7,7,1,7,7
12118,4,4,2,7,7,11,7,6,6,4,7,7,7,1,4,3,7,4,4,3,7,3,1,2,4,7,7,7,6,5,1,1,7,7,7,7,5,7,7,7,7,2,4,7
12118,4,4,3,7,7,11,4,6,6,5,7,7,7,1,4,1,7,4,2,3,NA,1,1,2,4,4,7,7,4,5,1,1,4,7,7,4,2,7,7,7,7,3,2,2
12118,4,4,4,7,7,11,7,6,6,4,7,7,4,1,4,2,4,4,4,3,NA,4,1,2,4,7,7,4,8,4,1,1,4,7,7,4,7,4,7,7,7,2,1,7
12296,3,3,1,3,3,8,7,7,7,7,7,7,7,1,1,6,7,7,7,3,7,5,3,2,5,7,5,7,6,1,1,2,1,7,5,1,4,7,6,7,7,3,6,7
12296,3,3,2,7,7,10,3,7,7,7,7,6,7,1,1,6,7,6,7,1,4,5,2,2,6,7,5,7,5,1,1,3,1,4,5,1,5,7,6,7,7,3,5,7
12296,3,3,3,7,7,6,7,7,7,7,5,7,4,1,1,7,5,7,7,2,NA,7,1,2,7,7,7,7,6,1,5,2,4,4,5,1,2,7,6,7,7,3,7,7
12330,5,5,1,6,6,9,1,6,6,6,6,7,2,6,7,2,7,2,6,3,6,5,2,2,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,1,7,7
12330,5,5,2,6,1,10,1,6,6,6,6,6,6,2,6,2,6,6,6,3,6,6,3,1,6,6,6,6,7,5,5,6,6,6,6,6,6,2,6,5,6,3,6,6
12330,5,5,3,5,6,6,1,6,7,6,6,6,2,2,6,3,6,4,7,3,NA,6,2,NA,6,6,6,6,7,6,6,2,7,5,7,6,5,2,6,7,7,4,4,7
12330,5,5,4,5,6,7,7,7,3,7,6,NA,7,2,4,7,7,4,7,1,NA,6,2,1,6,6,6,7,7,7,NA,6,7,NA,7,6,4,4,7,7,3,4,7,6
12330,5,5,5,6,6,5,6,6,3,5,6,7,6,2,6,6,6,7,6,2,NA,6,3,1,6,6,6,7,7,3,6,3,6,6,7,5,2,4,6,7,4,3,6,6
12425,3,3,1,7,7,6,5,6,5,5,7,7,5,2,5,5,6,6,5,1,7,6,1,2,7,7,6,7,8,7,4,7,6,5,5,6,3,7,6,6,7,4,4,7
12425,3,3,2,4,7,10,1,7,7,7,5,7,3,2,1,1,2,3,5,3,6,5,1,1,5,6,7,7,2,4,7,2,6,4,7,5,2,7,7,4,7,4,2,2
12425,3,3,3,5,7,8,1,6,6,7,7,7,7,2,3,2,3,4,6,3,NA,3,3,1,7,7,7,7,8,6,5,7,7,7,7,5,3,7,7,7,7,4,7,7
12475,3,3,1,3,6,6,3,4,5,5,5,4,4,1,5,1,6,5,4,3,2,3,2,1,4,5,5,4,5,5,1,2,4,6,5,2,3,3,6,5,7,3,3,1
12475,3,3,2,4,7,4,7,7,7,5,5,4,6,2,5,1,5,7,3,3,3,4,3,2,7,7,5,6,7,5,1,5,3,7,4,3,4,4,4,6,7,3,4,1
12475,3,3,3,4,7,8,7,6,6,2,6,6,3,5,2,1,6,5,5,2,NA,2,1,2,6,6,6,5,4,5,1,3,5,7,4,2,2,6,6,6,7,2,4,1
12568,3,3,1,5,6,7,6,5,6,7,6,3,5,2,6,3,7,6,6,2,2,1,3,1,6,7,5,5,3,3,1,2,4,7,2,1,5,4,6,6,2,NA,3,2
12568,3,3,2,7,5,10,1,6,7,6,7,7,6,4,4,2,7,3,7,3,1,1,3,1,6,7,7,7,6,1,6,6,5,7,3,1,2,5,7,6,6,4,5,3
12568,3,3,3,7,4,4,NA,3,5,7,7,2,3,2,1,NA,7,5,5,3,NA,1,3,1,3,6,2,4,2,1,1,4,4,3,1,2,6,4,7,6,2,NA,3,1
13203,4,4,1,4,7,6,6,6,7,7,7,6,7,1,1,6,7,4,5,1,4,5,2,2,7,7,7,7,5,4,3,2,5,6,2,1,3,5,6,6,5,4,3,4
13203,4,4,2,7,7,9,7,5,6,5,3,7,3,1,4,6,7,6,1,1,5,5,1,2,6,7,4,7,6,6,1,3,7,4,3,1,7,7,2,7,6,4,4,6
13203,4,4,3,3,7,5,7,7,7,7,6,7,7,3,2,5,7,7,1,3,NA,5,3,2,7,7,5,7,6,5,1,3,5,7,1,1,7,7,6,7,6,2,6,1
13203,4,4,4,7,7,8,7,6,6,5,6,7,5,1,1,2,7,4,3,3,NA,3,3,2,7,7,6,6,8,1,1,4,3,7,2,1,6,7,6,5,7,2,6,7
13286,4,3,1,3,5,10,1,6,7,7,6,7,6,5,7,4,7,5,7,3,2,1,1,1,7,7,7,7,6,4,5,6,6,7,3,2,2,7,7,7,7,3,3,4
13286,4,3,2,3,7,10,3,6,6,7,7,7,7,1,7,5,7,4,6,1,3,4,3,1,7,7,5,7,8,6,3,7,6,5,4,4,5,7,5,7,4,3,4,5
