"MTurkCode","listNum","total_goal","variable","rating","goal","goalType"
"AHYTT3T8W9Y9Y",1,1,"construal_level",3,1,"recurrance"
"A3KNLR8H286IHT",3,3,"construal_level",6,1,"short-term"
"A3NRAEKWOKVUNN",2,2,"construal_level",1,1,"recurrance"
"AHGDYNKOKJWFJ",3,2,"construal_level",4,1,"short-term"
"A1R5W4RQZTROD8",4,4,"construal_level",5,1,"long-term"
"A1XUZFDVKP95VC",2,2,"construal_level",6,1,"long-term"
"A22SZHZTF72TRM",4,4,"construal_level",4,1,"short-term"
"A1G187YBG0DVMQ",3,3,"construal_level",5,1,"short-term"
"A2BJTPZLXIGO8D",3,3,"construal_level",3,1,"recurrance"
"A2DVV59R1CQU6T",3,3,"construal_level",5,1,"long-term"
"A2ASTDMWBCFIP0",2,2,"construal_level",6,1,"short-term"
"A21BXRUD15TQL8",3,3,"construal_level",5,1,"long-term"
"AJ9O2ZA0E8UDZ",3,3,"construal_level",7,1,"recurrance"
"A3LL096CAY5WHB",2,2,"construal_level",5,1,"recurrance"
"A2LT6KC1X51FVW",2,2,"construal_level",4,1,"recurrance"
"AWVLT2L5AP873",3,3,"construal_level",2,1,"recurrance"
"A3U4SSUB9ZZ9T0",3,3,"construal_level",7,1,"long-term"
"A2R9OK4M877ZCC",3,2,"construal_level",6,1,"short-term"
"A1O9PAK6THJ9Y7",2,2,"construal_level",6,1,"long-term"
"A2AT6TSPPCR106",4,3,"construal_level",4,1,"recurrance"
"A28J7H4TH29DC3",3,3,"construal_level",4,1,"short-term"
"A1VRG5HKZC0H0C",5,5,"construal_level",3,1,"short-term"
"A351LMMMFYPM7U",5,5,"construal_level",3,1,"recurrance"
"A2NHFSO7GMM8QR",2,3,"construal_level",7,1,"long-term"
"A2VNSNAN1LZBAM",3,3,"construal_level",6,1,"long-term"
"A3KIZLHCD945UK",3,3,"construal_level",5,1,"short-term"
"A1720HSKGQ41VJ",4,4,"construal_level",5,1,"short-term"
"A26NGLGGFTATVN",2,2,"construal_level",7,1,"recurrance"
"A30HUZHJBOX1LK",2,2,"construal_level",1,1,"recurrance"
"A4BDXOXC4D8FX",3,3,"construal_level",7,1,"short-term"
"A3AJJHOAV7WIUQ",3,3,"construal_level",4,1,"short-term"
"AS2MFSWNC5CQI",4,4,"construal_level",7,1,"long-term"
"A3VYBAO7UQQHGC",3,3,"construal_level",2,1,"short-term"
"A1G5EPLJEGL381",2,2,"construal_level",6,1,"long-term"
"A1CTUG0RUGCY48",1,1,"construal_level",6,1,"long-term"
"A6R5AQ4D638BH",3,3,"construal_level",4,1,"long-term"
"A2KOR4003SVNC5",3,3,"construal_level",3,1,"short-term"
"A1OJV3R8BH73BD",3,4,"construal_level",6,1,"short-term"
"A3OUNEJO97MM8E",3,3,"construal_level",6,1,"short-term"
"A7P3R1AIA4TVV",3,3,"construal_level",1,1,"recurrance"
"A121T4P5NKCHCS",3,3,"construal_level",2,1,"short-term"
"A3NLSGHK6RFXA8",4,4,"construal_level",4,1,"long-term"
"AOS2PVHT2HYTL",3,5,"construal_level",4,1,"short-term"
"A1TPGXT718D68E",3,3,"construal_level",3,1,"short-term"
"AKX5RHHO8BIUX",5,5,"construal_level",2,1,"short-term"
"A26UAJWMMNN351",3,3,"construal_level",4,1,"short-term"
"AM0QVBV8L6QCJ",2,2,"construal_level",2,1,"long-term"
"A2X3FSFHV5GHJU",3,3,"construal_level",6,1,"long-term"
"A1F1TBDHPYAAXT",3,3,"construal_level",4,1,"short-term"
"AFMAFX0P2YRRV",1,1,"construal_level",3,1,"short-term"
"A38BO0BRCQX6OV",3,3,"construal_level",6,1,"long-term"
"AIA7RZSAONU5M",3,3,"construal_level",1,1,"recurrance"
"A2615YW1YERQBO",3,3,"construal_level",4,1,"long-term"
"A3OPRR8AXT6OSJ",3,3,"construal_level",4,1,"recurrance"
"A1AIMKA54UBYIQ",2,2,"construal_level",4,1,"recurrance"
"A286W816CMIZL9",3,2,"construal_level",4,1,"long-term"
"A3HXM7BGH18FOW",3,3,"construal_level",4,1,"recurrance"
"A770OB1ZAGJ4G",4,4,"construal_level",6,1,"recurrance"
"A17KN7NAP48L4B",3,3,"construal_level",1,1,"short-term"
"A110BZSDZN7E16",3,4,"construal_level",4,1,"short-term"
"A1X388C6SDCDEY",4,4,"construal_level",7,1,"recurrance"
"A1BSVEBYDZ0AAU",3,3,"construal_level",3,1,"recurrance"
"A1D2ZSPIHOI23K",3,4,"construal_level",4,1,"short-term"
"A2VGFS03KCCR1Q",2,2,"construal_level",6,1,"short-term"
"AYA1LRB27KSR1",5,7,"construal_level",7,1,"short-term"
"A132GRVDGXPJGY",3,3,"construal_level",1,1,"short-term"
"A39H9RIYRB5ZYV",5,6,"construal_level",5,1,"recurrance"
"A19YQU3ZZ8USPO",3,3,"construal_level",3,1,"recurrance"
"A2EK1HDV4I4GSK",2,2,"construal_level",6,1,"long-term"
"A11F3MA5FWH6SJ",3,3,"construal_level",7,1,"recurrance"
"AHKRGPN5D3I2G",5,4,"construal_level",4,1,"recurrance"
"A1CI5U3BLQ2DDS",5,5,"construal_level",NA,1,"short-term"
"A302KOFOYLD89A",3,2,"construal_level",5,1,"long-term"
"A3GI28OVLDI9ST",5,5,"construal_level",1,1,"short-term"
"A3PSV85ZUXP9VF",3,3,"construal_level",5,1,"long-term"
"A2ZGAH6NOSU2PO",5,6,"construal_level",4,1,"recurrance"
"A30FIPRPFQRBO6",3,3,"construal_level",4,1,"recurrance"
"AKMOBFEEKW378",5,3,"construal_level",1,1,"recurrance"
"A18SXC3JEN1O0U",2,2,"construal_level",4,1,"recurrance"
"A198MSVO1VTAT5",4,4,"construal_level",1,1,"short-term"
"A1MJWY7UO3CDSM",2,2,"construal_level",5,1,"short-term"
"A2CP6MLJVJYBO7",2,3,"construal_level",3,1,"recurrance"
"AQMLJYUQCSG22",3,3,"construal_level",4,1,"recurrance"
"A6JUD4NCQCDWG",2,2,"construal_level",4,1,"long-term"
"A2HQMB1GSEADL",5,13,"construal_level",1,1,"short-term"
"A1WS9UHL45VZ0X",3,3,"construal_level",3,1,"short-term"
"AADRZTXSE7211",4,3,"construal_level",6,1,"recurrance"
"A1ABL45KAK12A5",5,4,"construal_level",6,1,"recurrance"
"A2W0G89O7E9EFO",5,3,"construal_level",7,1,"long-term"
"A38DHLB88V8DL8",4,4,"construal_level",4,1,"recurrance"
"A1WJYF201K77BI",5,5,"construal_level",3,1,"recurrance"
"AF0W4ZBY7VXOU",3,3,"construal_level",7,1,"recurrance"
"A2H6Q22X1V1FTX",3,3,"construal_level",1,1,"short-term"
"ANZNAAS2K0DSY",3,2,"construal_level",5,1,"short-term"
"A2WZ8ZEB00LYF7",2,2,"construal_level",5,1,"long-term"
"A321WQIFK10UV3",3,3,"construal_level",1,1,"long-term"
"A18JNQE5GZQIX5",3,3,"construal_level",4,1,"recurrance"
"AXF0OX50YZQC6",5,6,"construal_level",1,1,"recurrance"
"A2VGEE0ZIZ8CBQ",3,3,"construal_level",2,1,"recurrance"
"ADYMIMV1PE14V",3,2,"construal_level",7,1,"long-term"
"A1RWNYJA5X25YH",5,5,"construal_level",4,1,"recurrance"
"A3UUH3632AI3ZX",1,1,"construal_level",7,1,"short-term"
"A34VLM2UC0JY11",2,2,"construal_level",4,1,"short-term"
"ASY5W2HJPIPF4",2,3,"construal_level",5,1,"short-term"
"A2SFFO79KSG5VA",5,5,"construal_level",4,1,"short-term"
"A1T83SZBP2DN65",2,2,"construal_level",7,1,"short-term"
"AVKMFV9CZ0MLR",5,5,"construal_level",7,1,"recurrance"
"A3OAXRZT3MVJML",3,2,"construal_level",NA,1,"long-term"
"A5E2P5F1AXYZ1",5,5,"construal_level",6,1,"recurrance"
"A3GZXU4FUJTKZD",5,40,"construal_level",5,1,"short-term"
"A13O22EMG5ZVN0",3,5,"construal_level",5,1,"recurrance"
"A207IHY6GERCFO",3,3,"construal_level",6,1,"recurrance"
"A225BMTMXUR5F4",5,7,"construal_level",5,1,"short-term"
"A1IBLFQ2E6VA2J",5,10,"construal_level",4,1,"short-term"
"AIHHRINW9IN1I",3,3,"construal_level",4,1,"short-term"
"A1Z2ZGPJRGG0G3",3,3,"construal_level",4,1,"recurrance"
"AU34T9OMHN4Z4",3,6,"construal_level",NA,1,"recurrance"
"A11ILN5YSUDVG8",3,3,"construal_level",3,1,"recurrance"
"A2GTBBZA2M82NR",4,4,"construal_level",1,1,"recurrance"
"AMTTB8JUWRRM7",2,2,"construal_level",4,1,"long-term"
"AQAXDL1INQC9Q",3,3,"construal_level",4,1,"recurrance"
"AAHZCL4LIPCBQ",3,3,"construal_level",7,1,"long-term"
"A2BEBDMQ7SI4IY",5,1,"construal_level",4,1,"short-term"
"A1RQUOVV8PCXBM",5,5,"construal_level",6,1,"long-term"
"A1LS7GARU7CD08",3,4,"construal_level",1,1,"recurrance"
"A2FP41BSPG0Y4A",5,4,"construal_level",7,1,"recurrance"
"AS6FM754MF2B2",4,3,"construal_level",4,1,"recurrance"
"A10LHWALI4BZPC",4,10,"construal_level",5,1,"recurrance"
"A3989GRV3UV5VW",3,3,"construal_level",7,1,"recurrance"
