MTurkCode,goal_order,goals,content,content-other,healthy,weight control,body composition/shape,diet,specific diet type,exercise,specific exercise type,specific weight lost,specific time /frequency,other health 
AHYTT3T8W9Y9Y,1,My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this. ,physical health,,,1,,,,1,1,,,
A3KNLR8H286IHT,1,I want to have my YouTube Channel hit 100 subscribers.,leisure,,,,,,,,,,,
A3KNLR8H286IHT,2,I want to drop my weight down from 165 to 155.,physical health,,,1,,,,,,1,,
A3KNLR8H286IHT,3,I want to have at $1000 in my brokerage account.,finance,,,,,,,,,,,
A3NRAEKWOKVUNN,1,My goal is to earn at least $30 per week on Mturk.,finance,,,,,,,,,,,
A3NRAEKWOKVUNN,2,My goal is to have a net worth of $600K by 3/23/2022.,finance,,,,,,,,,,,
AHGDYNKOKJWFJ,1,I would like to lose 20 lbs,physical health,,,1,,,,,,1,,
AHGDYNKOKJWFJ,2,I would like to get a better job,work/career development,,,,,,,,,,,
AHGDYNKOKJWFJ,3,I would like to completely clean my house,house work,,,,,,,,,,,
A1R5W4RQZTROD8,1,My goal is to train my new puppy to become a very well-trained dog over the next three months.,other,pet,,,,,,,,,,
A1R5W4RQZTROD8,2,My goal is to enjoy myself by going fishing as often as possible.,leisure,,,,,,,,,,,
A1R5W4RQZTROD8,3,My goal is to save $500 a month.,finance,,,,,,,,,,,
A1R5W4RQZTROD8,4,My goal is to either do cardio or lift weights every day.,physical health,,,,,,,1,,,,
A1XUZFDVKP95VC,1,getting my small business off the ground in the next 6 months,work/career development,,,,,,,,,,,
A1XUZFDVKP95VC,2,advocating for my eye surgery to be covered from my insurance company,other,insurance,,,,,,,,,,
A22SZHZTF72TRM,1,My goal is to run a sub 25min 5k within 3 months.,physical health,,,,,,,1,,,,
A22SZHZTF72TRM,2,My goal is to lose 5 lbs in the next 2 months.,physical health,,,1,,,,,,1,,
A22SZHZTF72TRM,3,My goal is to take time to appreciate small things every day.,mental health,,,,,,,,,,,
A22SZHZTF72TRM,4,My goal is to keep my apartment clean on a weekly basis.,house work,,,,,,,,,,,
A1G187YBG0DVMQ,1,My goalis to get blood pressure down to normal range in the following month,physical health,,,,,,,,,,,1
A1G187YBG0DVMQ,2,My goal is to starting tackling credit card debt,finance,,,,,,,,,,,
A1G187YBG0DVMQ,3,My goalis to make new friends,social/relationship,,,,,,,,,,,
A2BJTPZLXIGO8D,1,I want to cultivate a garden and produce my own food through this Summer.,house work,,,,,,,,,,,
A2BJTPZLXIGO8D,2,I want to start my own business and make money working for myself.,work/career development,,,,,,,,,,,
A2BJTPZLXIGO8D,3,"I want to begin working out again, mainly on my abs.",physical health,,,,,,,1,,,,
A2DVV59R1CQU6T,1,My goal is to become fluent in Spanish in the next year.,skill development,,,,,,,,,,,
A2DVV59R1CQU6T,2,My goal is to be intimate with my partner three times per week.,social/relationship,,,,,,,,,,,
A2DVV59R1CQU6T,3,My goal is to exercise five times per week.,physical health,,,,,,,1,,,,
A2ASTDMWBCFIP0,1,Lose thirty pounds three months,physical health,,,1,,,,,,1,,
A2ASTDMWBCFIP0,2,Go back to college this summer to work on degree in three months,academic/school,,,,,,,,,,,
A21BXRUD15TQL8,1,I want to find a job that is meaningful to me in the next year.,work/career development,,,,,,,,,,,
A21BXRUD15TQL8,2,I would like to lose 5 pounds of weight in the next 3 months.,physical health,,,1,,,,,,,,
A21BXRUD15TQL8,3,"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.",physical health,,,,,,,1,,,,
AJ9O2ZA0E8UDZ,1,To earn enough from m side hustle and business for savings,finance,,,,,,,,,,,
AJ9O2ZA0E8UDZ,2,To be healthier and exercise in a regular basis,physical health,,1,,,,,1,,,,
AJ9O2ZA0E8UDZ,3,To secure a good paying job and be able to help my husband meet out financial goal.,finance,,,,,,,,,,,
A3LL096CAY5WHB,1,My goal is to move my diet towards a more healthy and notorious diet in the next few months. I eat too much junk food and need to begin by phasing that out and switching to more nutritious meals.,physical health,,1,,,1,,,,,,
A3LL096CAY5WHB,2,Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.,physical health,,,,,,,1,,,,
