"Items","mTurk_b_icc"
"affordance",0.345784200038059
"approach_avoidance_R",0.162901714783563
"attainability",0.322298921370541
"attainment_maintenance_R",0.211686281400443
"attractiveness_achievement",0.351715321745952
"attractiveness_progress",0.363937329925673
"basic_needs",0.158719971699547
"clarity",0.305989865398635
"commitment",0.313520492216327
"commonality",0.184160936040743
"conflict",0.326517257919521
"connectedness",0.397097456831788
"construal_level",0.35284701460345
"control",0.200616955692995
"difficulty",0.180028950305302
"effort",0.262801964958762
"end_state_specificity_R",0.17051348595599
"external_importance",0.223132269924359
"external_motivation",0.274308121503379
"failure",0.182725530585541
"frequency_R",0.162429610495675
"ideal_motivation",0.226168327893479
"identified_motivation",0.250063125253776
"implementation_intention",0.314403501361027
"importance",0.25212020537163
"initial_time_R",0.307735214121962
"instrumentality",0.291148139391052
"intrinsic_motivation",0.179467862220638
"introjected_motivation",0.311493345209099
"meaningfulness",0.39275049642262
"measurability",0.219792114314346
"other_resources",0.373426178118838
"ought_motivation",0.394666483684142
"procrastination",0.318325349568648
"regret",0.27837544904028
"self_resources",0.308063774690479
"social_desirability",0.335043749810933
"specificity",0.217405400690299
"temporal_duration",0.293501045077476
"urgency",0.259368657138903
"visibility",0.327739315592425
