"MTurkCode","listNum","goal","goalType","variable","rating"
"A10LHWALI4BZPC",4,"1","recurrance","endTime",NA
"A10LHWALI4BZPC",4,"2","short-term","endTime","next_month"
"A10LHWALI4BZPC",4,"3","long-term","endTime",NA
"A10LHWALI4BZPC",4,"4","recurrance","endTime",NA
"A110BZSDZN7E16",3,"1","short-term","endTime","three_month"
"A110BZSDZN7E16",3,"2","short-term","endTime","three_month"
"A110BZSDZN7E16",3,"3","long-term","endTime",NA
"A11F3MA5FWH6SJ",3,"1","recurrance","endTime",NA
"A11F3MA5FWH6SJ",3,"2","recurrance","endTime",NA
"A11F3MA5FWH6SJ",3,"3","short-term","endTime","three_month"
"A11ILN5YSUDVG8",3,"1","recurrance","endTime",NA
"A11ILN5YSUDVG8",3,"2","recurrance","endTime",NA
"A11ILN5YSUDVG8",3,"3","long-term","endTime",NA
"A121T4P5NKCHCS",3,"1","short-term","endTime","three_month"
"A121T4P5NKCHCS",3,"2","short-term","endTime","three_month"
"A121T4P5NKCHCS",3,"3","short-term","endTime","three_month"
"A12JKSH2NE5W9N",2,"1","recurrance","endTime",NA
"A12JKSH2NE5W9N",2,"2","long-term","endTime",NA
"A132GRVDGXPJGY",3,"1","short-term","endTime","three_month"
"A132GRVDGXPJGY",3,"2","short-term","endTime","three_month"
"A132GRVDGXPJGY",3,"3","short-term","endTime","next_month"
"A13FUEPWBCLBUY",2,"1","recurrance","endTime",NA
"A13FUEPWBCLBUY",2,"2","recurrance","endTime",NA
"A13O22EMG5ZVN0",3,"1","recurrance","endTime",NA
"A13O22EMG5ZVN0",3,"2","recurrance","endTime",NA
"A13O22EMG5ZVN0",3,"3","recurrance","endTime",NA
"A13WTEQ06V3B6D",3,"1","recurrance","endTime",NA
"A13WTEQ06V3B6D",3,"2","recurrance","endTime",NA
"A13WTEQ06V3B6D",3,"3","short-term","endTime","three_month"
"A1561P9VVA3C1C",3,"1","recurrance","endTime",NA
"A1561P9VVA3C1C",3,"2","short-term","endTime","three_month"
"A1561P9VVA3C1C",3,"3","long-term","endTime",NA
"A15VI0QFR2YO50",2,"1","short-term","endTime","three_month"
"A15VI0QFR2YO50",2,"2","short-term","endTime","three_month"
"A160L76BFKQQ1Q",3,"1","recurrance","endTime",NA
"A160L76BFKQQ1Q",3,"2","short-term","endTime","two_month"
"A160L76BFKQQ1Q",3,"3","recurrance","endTime",NA
"A169WH54HMYS5Z",3,"1","recurrance","endTime",NA
"A169WH54HMYS5Z",3,"2","recurrance","endTime",NA
"A169WH54HMYS5Z",3,"3","recurrance","endTime",NA
"A16Z9FSSF1X74O",5,"1","recurrance","endTime",NA
"A16Z9FSSF1X74O",5,"2","long-term","endTime",NA
"A16Z9FSSF1X74O",5,"3","short-term","endTime","three_month"
"A16Z9FSSF1X74O",5,"4","recurrance","endTime",NA
"A16Z9FSSF1X74O",5,"5","recurrance","endTime",NA
"A1720HSKGQ41VJ",4,"1","short-term","endTime","three_month"
"A1720HSKGQ41VJ",4,"2","short-term","endTime","three_month"
"A1720HSKGQ41VJ",4,"3","long-term","endTime",NA
"A1720HSKGQ41VJ",4,"4","recurrance","endTime",NA
"A17KN7NAP48L4B",3,"1","short-term","endTime","three_month"
"A17KN7NAP48L4B",3,"2","recurrance","endTime",NA
"A17KN7NAP48L4B",3,"3","recurrance","endTime",NA
"A18JNQE5GZQIX5",3,"1","recurrance","endTime",NA
"A18JNQE5GZQIX5",3,"2","recurrance","endTime",NA
