"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base"
"A10LHWALI4BZPC",4,"1",NA,"recurrance","9","7"
"A10LHWALI4BZPC",4,"2","next_month","short-term","6","5"
"A10LHWALI4BZPC",4,"3",NA,"long-term","2","3"
"A10LHWALI4BZPC",4,"4",NA,"recurrance","10","7"
"A110BZSDZN7E16",3,"1","three_month","short-term","7","6"
"A110BZSDZN7E16",3,"2","three_month","short-term","3","3"
"A110BZSDZN7E16",3,"3",NA,"long-term","6","6"
"A11F3MA5FWH6SJ",3,"1",NA,"recurrance","0","1"
"A11F3MA5FWH6SJ",3,"2",NA,"recurrance","5","5"
"A11F3MA5FWH6SJ",3,"3","three_month","short-term","0","1"
"A11ILN5YSUDVG8",3,"1",NA,"recurrance","7","2"
"A11ILN5YSUDVG8",3,"2",NA,"recurrance","3","8"
"A11ILN5YSUDVG8",3,"3",NA,"long-term","1","3"
"A121T4P5NKCHCS",3,"1","three_month","short-term","5","6"
"A121T4P5NKCHCS",3,"2","three_month","short-term","1","5"
"A121T4P5NKCHCS",3,"3","three_month","short-term","0","2"
"A12JKSH2NE5W9N",2,"1",NA,"recurrance","8","8"
"A12JKSH2NE5W9N",2,"2",NA,"long-term","1","5"
"A132GRVDGXPJGY",3,"1","three_month","short-term","3","3"
"A132GRVDGXPJGY",3,"2","three_month","short-term","1","1"
"A132GRVDGXPJGY",3,"3","next_month","short-term","1","1"
"A13FUEPWBCLBUY",2,"1",NA,"recurrance","9","6"
"A13FUEPWBCLBUY",2,"2",NA,"recurrance","9","6"
"A13O22EMG5ZVN0",3,"1",NA,"recurrance","4","3"
"A13O22EMG5ZVN0",3,"2",NA,"recurrance","4","1"
"A13O22EMG5ZVN0",3,"3",NA,"recurrance","4","2"
"A13WTEQ06V3B6D",3,"1",NA,"recurrance","6","2"
"A13WTEQ06V3B6D",3,"2",NA,"recurrance","5","1"
"A13WTEQ06V3B6D",3,"3","three_month","short-term","2","5"
"A1561P9VVA3C1C",3,"1",NA,"recurrance","0","1"
