"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"AHYTT3T8W9Y9Y",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"recurrance",1,2,3
"A3KNLR8H286IHT",2,1,1,4,4.24,1,0,1,0,1,0,3,0,3,1,3,"short-term",1,7,7
"A3KNLR8H286IHT",2,1,2,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",1,5,7
"A3KNLR8H286IHT",2,1,3,1,0,1,0,4,4.24,1,0,0,3,3,2,3,"recurrance",1,2,7
"A3NRAEKWOKVUNN",3,1.5,1,4,NA,1,NA,2,NA,2,NA,3,0,2,1,2,"recurrance",2,3,3
"A3NRAEKWOKVUNN",3,1.5,2,2,NA,2,NA,4,NA,1,NA,0,3,2,2,2,"long-term",1,4,4
"AHGDYNKOKJWFJ",2.5,2,1,2.5,0.71,2,0,3,1.41,2,0,0.5,1,3,1,2,"short-term",2,2,5
"AHGDYNKOKJWFJ",2.5,2,2,2,0,2,0,2.5,0.71,2,0,0,0.5,3,2,2,"short-term",2,2,4
"AHGDYNKOKJWFJ",2.5,2,3,3,1.41,2,0,2,0,2,0,1,0,3,3,2,"short-term",2,3,3
"A1R5W4RQZTROD8",1.25,2.58,1,1,0,2,1,1,0,2.67,2.89,-1,-1.67,4,1,4,"long-term",2,1,2
"A1R5W4RQZTROD8",1.25,2.58,2,1,0,4.67,1.53,1,0,3.33,0.58,-3.67,-2.33,4,4,4,"recurrance",4,1,1
"A1R5W4RQZTROD8",1.25,2.58,3,1.33,0.58,2,1.73,1.67,1.15,2.67,2.08,-0.67,-1,4,3,4,"recurrance",2,1,5
"A1R5W4RQZTROD8",1.25,2.58,4,1.67,1.15,1.67,1.15,1.33,0.58,1.67,1.15,0,-0.33,4,2,4,"recurrance",2,2,4
"A1XUZFDVKP95VC",2,1,1,1,NA,1,NA,3,NA,1,NA,0,2,2,2,2,"long-term",2,5,7
"A1XUZFDVKP95VC",2,1,2,3,NA,1,NA,1,NA,1,NA,2,0,2,1,2,"short-term",3,4,7
"A22SZHZTF72TRM",2.25,1,1,2.67,2.89,1,0,2.67,2.89,1,0,1.67,1.67,4,1,4,"short-term",1,4,4
"A22SZHZTF72TRM",2.25,1,2,2.67,2.89,1,0,2.67,2.89,1,0,1.67,1.67,4,4,4,"short-term",1,7,7
"A22SZHZTF72TRM",2.25,1,3,1.67,1.15,1,0,2,1.73,1,0,0.67,1,4,3,4,"recurrance",1,2,4
"A22SZHZTF72TRM",2.25,1,4,2,1.73,1,0,1.67,1.15,1,0,1,0.67,4,2,4,"recurrance",2,3,4
"A1G187YBG0DVMQ",1.67,1.67,1,1.5,0.71,1,0,1,0,1,0,0.5,0,3,1,3,"short-term",2,3,4
"A1G187YBG0DVMQ",1.67,1.67,2,2.5,2.12,1.5,0.71,1,0,2.5,2.12,1,-1.5,3,2,3,"long-term",2,3,5
"A1G187YBG0DVMQ",1.67,1.67,3,1,0,2.5,2.12,3,1.41,1.5,0.71,-1.5,1.5,3,3,3,"recurrance",1,3,3
"A2BJTPZLXIGO8D",2,1.17,1,2.5,2.12,1.5,0.71,2.5,2.12,1,0,1,1.5,3,2,3,"recurrance",1,4,7
"A2BJTPZLXIGO8D",2,1.17,2,2.5,2.12,1,0,2.5,2.12,1.5,0.71,1.5,1,3,1,3,"recurrance",3,4,7
"A2BJTPZLXIGO8D",2,1.17,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",2,4,4
"A2DVV59R1CQU6T",3,1,1,1.5,0.71,1,0,1.5,0.71,1,0,0.5,0.5,3,1,3,"long-term",2,5,7
"A2DVV59R1CQU6T",3,1,2,4,2.83,1,0,4,2.83,1,0,3,3,3,3,3,"recurrance",2,1,4
"A2DVV59R1CQU6T",3,1,3,3.5,3.54,1,0,3.5,3.54,1,0,2.5,2.5,3,2,3,"recurrance",2,3,6
"A2ASTDMWBCFIP0",4,2.5,1,4,NA,2,NA,4,NA,3,NA,2,1,2,2,2,"short-term",4,3,6
"A2ASTDMWBCFIP0",4,2.5,2,4,NA,3,NA,4,NA,2,NA,1,2,2,1,2,"short-term",4,4,7
"A21BXRUD15TQL8",3.83,1.33,1,1.5,0.71,1.5,0.71,4,4.24,1,0,0,3,3,3,3,"long-term",2,4,5
"A21BXRUD15TQL8",3.83,1.33,2,3.5,3.54,1.5,0.71,3.5,3.54,1,0,2,2.5,3,2,3,"short-term",1,2,2
"A21BXRUD15TQL8",3.83,1.33,3,6.5,0.71,1,0,4,2.83,2,0,5.5,2,3,1,3,"recurrance",2,5,2
"AJ9O2ZA0E8UDZ",1.5,1,1,1,0,1,0,2.5,2.12,1,0,0,1.5,3,2,3,"recurrance",2,5,4
"AJ9O2ZA0E8UDZ",1.5,1,2,1,0,1,0,1,0,1,0,0,0,3,3,3,"recurrance",2,5,7
"AJ9O2ZA0E8UDZ",1.5,1,3,2.5,2.12,1,0,1,0,1,0,1.5,0,3,1,3,"short-term",7,5,4
"A3LL096CAY5WHB",6,2,1,6,NA,2,NA,6,NA,2,NA,4,4,2,2,2,"recurrance",2,6,4
"A3LL096CAY5WHB",6,2,2,6,NA,2,NA,6,NA,2,NA,4,4,2,1,2,"recurrance",1,5,5
"A2LT6KC1X51FVW",5,1,1,4,NA,1,NA,6,NA,1,NA,3,5,2,2,2,"recurrance",1,2,5
"A2LT6KC1X51FVW",5,1,2,6,NA,1,NA,4,NA,1,NA,5,3,2,1,2,"recurrance",1,2,5
"AWVLT2L5AP873",1.5,2.33,1,1.5,0.71,1,0,2,1.41,1,0,0.5,1,3,2,3,"recurrance",1,4,4
"AWVLT2L5AP873",1.5,2.33,2,1,0,3,2.83,1,0,3,2.83,-2,-2,3,1,3,"recurrance",5,1,6
"AWVLT2L5AP873",1.5,2.33,3,2,1.41,3,2.83,1.5,0.71,3,2.83,-1,-1.5,3,3,3,"recurrance",5,4,5
"A3U4SSUB9ZZ9T0",3.67,3.67,1,3,1.41,4,2.83,4,2.83,3.5,3.54,-1,0.5,3,1,3,"long-term",6,4,6
"A3U4SSUB9ZZ9T0",3.67,3.67,2,6,0,1,0,3,1.41,4,2.83,5,-1,3,2,3,"recurrance",2,5,6
"A3U4SSUB9ZZ9T0",3.67,3.67,3,2,0,6,0,4,2.83,3.5,3.54,-4,0.5,3,3,3,"recurrance",2,7,7
"A2R9OK4M877ZCC",3,3.5,1,1,0,4,4.24,4,4.24,5.5,2.12,-3,-1.5,3,1,2,"short-term",2,3,6
"A2R9OK4M877ZCC",3,3.5,2,4,4.24,4,4.24,4,4.24,4,4.24,0,0,3,3,2,"recurrance",2,7,7
"A2R9OK4M877ZCC",3,3.5,3,4,4.24,2.5,2.12,1,0,1,0,1.5,0,3,2,2,"recurrance",2,4,7
"A1O9PAK6THJ9Y7",2,2,1,2,NA,2,NA,2,NA,2,NA,0,0,2,1,2,"long-term",1,2,3
"A1O9PAK6THJ9Y7",2,2,2,2,NA,2,NA,2,NA,2,NA,0,0,2,2,2,"long-term",2,3,4
"A2AT6TSPPCR106",4,1,1,3,3.46,1,0,5.33,1.53,1,0,2,4.33,4,3,3,"recurrance",2,5,7
