"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","conflict","connectedness","instrumentality"
"A10LHWALI4BZPC","1.50","1.33","2.50","1.50","0.53","1.33","0.14","1.50","0.67","1.33","0.58","0.17","0.17","1.00","2.00","4.50"
"A110BZSDZN7E16","2.33","1.33","2.00","2.33","1.89","1.33","0.47","2.33","1.89","1.33","0.47","1.00","1.00","1.67","2.00","6.00"
"A11F3MA5FWH6SJ","3.33","2.33","2.00","3.33","2.36","2.33","1.88","3.33","3.30","2.33","0.94","1.00","1.00","1.67","2.00","5.67"
"A11ILN5YSUDVG8","6.00","2.00","2.00","6.00","0.47","2.00","0.00","6.00","0.47","2.00","0.00","4.00","4.00","1.67","5.67","6.00"
"A121T4P5NKCHCS","3.33","2.83","2.00","3.33","1.89","2.83","1.18","3.33","2.36","2.83","2.59","0.50","0.50","2.00","4.00","5.00"
"A12JKSH2NE5W9N","2.50","2.50","1.50","2.50","NA","2.50","NA","2.50","NA","2.50","NA","0.00","0.00","3.00","3.50","6.50"
"A132GRVDGXPJGY","1.50","1.00","2.00","1.50","0.71","1.00","0.00","1.50","0.24","1.00","0.00","0.50","0.50","1.33","4.67","6.33"
"A13FUEPWBCLBUY","6.00","2.00","1.50","6.00","NA","2.00","NA","6.00","NA","2.00","NA","4.00","4.00","1.00","6.50","5.50"
"A13O22EMG5ZVN0","4.50","4.00","2.00","4.50","0.71","4.00","1.41","4.50","0.71","4.00","1.88","0.50","0.50","4.00","4.00","4.33"
"A13WTEQ06V3B6D","2.00","5.83","2.00","2.00","0.94","5.83","1.18","2.00","0.94","5.83","1.18","-3.83","-3.83","3.00","4.67","6.00"
"A1561P9VVA3C1C","1.83","1.83","2.00","1.83","1.18","1.83","1.18","1.83","1.18","1.83","1.18","0.00","0.00","1.33","2.67","3.67"
"A15VI0QFR2YO50","7.00","1.00","1.50","7.00","NA","1.00","NA","7.00","NA","1.00","NA","6.00","6.00","1.00","4.00","6.50"
"A160L76BFKQQ1Q","5.00","3.67","2.00","5.00","0.94","3.67","1.89","5.00","1.41","3.67","0.47","1.33","1.33","4.00","5.00","5.67"
"A169WH54HMYS5Z","1.00","1.00","2.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","2.00","1.00","6.33"
"A16Z9FSSF1X74O","3.45","1.80","3.00","3.45","2.68","1.80","1.14","3.45","2.53","1.80","1.40","1.65","1.65","2.00","3.00","4.20"
"A1720HSKGQ41VJ","1.58","1.25","2.50","1.58","0.40","1.25","0.43","1.58","0.82","1.25","0.25","0.33","0.33","1.50","2.00","4.75"
"A17KN7NAP48L4B","6.33","1.00","2.00","6.33","0.94","1.00","0.00","6.33","0.94","1.00","0.00","5.33","5.33","1.00","4.00","6.00"
"A18JNQE5GZQIX5","3.33","1.00","2.00","3.33","2.36","1.00","0.00","3.33","1.41","1.00","0.00","2.33","2.33","1.67","4.00","4.00"
"A18SXC3JEN1O0U","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.50","4.00","2.00"
"A196O7GQLD3S2J","4.50","2.17","2.00","4.50","1.18","2.17","1.65","4.50","1.18","2.17","1.18","2.33","2.33","2.67","3.00","6.33"
"A198MSVO1VTAT5","1.00","1.00","2.50","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","4.25","4.75"
"A19YQU3ZZ8USPO","3.00","2.33","2.00","3.00","1.89","2.33","0.00","3.00","1.41","2.33","0.47","0.67","0.67","1.00","7.00","5.33"
"A1ABL45KAK12A5","3.25","1.95","3.00","3.25","2.38","1.95","1.50","3.25","2.19","1.95","1.50","1.30","1.30","2.20","5.80","7.00"
"A1ADAWW4IHPCQ7","2.00","3.83","2.00","2.00","0.00","3.83","0.71","2.00","0.00","3.83","0.24","-1.83","-1.83","3.00","3.33","5.33"
"A1AIMKA54UBYIQ","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","3.00","3.50","2.00"
"A1AZLJ3R5FQ9B7","1.67","1.67","2.00","1.67","0.47","1.67","0.94","1.67","0.47","1.67","0.00","0.00","0.00","1.00","1.00","4.67"
"A1B5SSGMTAQ9B5","2.50","1.00","1.50","2.50","NA","1.00","NA","2.50","NA","1.00","NA","1.50","1.50","3.00","4.00","2.50"
"A1BG47GSHQ9WSU","2.00","2.00","1.50","2.00","NA","2.00","NA","2.00","NA","2.00","NA","0.00","0.00","3.00","2.00","3.50"
"A1BIJGB7XA0GME","1.00","1.00","2.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.33","1.00","1.00"
"A1BSVEBYDZ0AAU","1.50","2.83","2.00","1.50","0.24","2.83","1.18","1.50","0.71","2.83","0.71","-1.33","-1.33","2.67","3.67","1.67"
"A1BWS5AD2T4NIR","1.00","3.10","3.00","1.00","0.00","3.10","2.02","1.00","0.00","3.10","2.02","-2.10","-2.10","2.40","1.60","5.00"
"A1CI5U3BLQ2DDS","1.80","1.30","3.00","1.80","1.60","1.30","0.60","1.80","1.60","1.30","0.60","0.50","0.50","1.60","5.20","7.00"
"A1CTUG0RUGCY48","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.00","1.00","7.00"
"A1D2ZSPIHOI23K","4.50","3.17","2.00","4.50","1.18","3.17","1.18","4.50","0.71","3.17","0.71","1.33","1.33","4.00","3.67","4.33"
"A1D7IULWFI8PB1","3.17","2.00","2.00","3.17","3.06","2.00","0.94","3.17","2.12","2.00","0.94","1.17","1.17","1.00","2.67","4.67"
"A1DD23J1WBGQUU","2.83","1.17","2.00","2.83","2.59","1.17","0.24","2.83","1.18","1.17","0.24","1.67","1.67","2.00","3.33","4.67"
"A1EH9BPKYXFBS5","6.45","1.50","3.00","6.45","0.98","1.50","1.00","6.45","0.39","1.50","0.29","4.95","4.95","2.00","6.00","6.00"
