"MTurkCode","listNum","total_goal","variable","rating","goal","goalType"
"AHYTT3T8W9Y9Y",1,1,"commitment",6,"1","recurrance"
"A3KNLR8H286IHT",3,3,"commitment",6,"1","short-term"
"A3NRAEKWOKVUNN",2,2,"commitment",3,"1","recurrance"
"AHGDYNKOKJWFJ",3,2,"commitment",5,"1","short-term"
"A1R5W4RQZTROD8",4,4,"commitment",7,"1","long-term"
"A1XUZFDVKP95VC",2,2,"commitment",6,"1","long-term"
"A22SZHZTF72TRM",4,4,"commitment",7,"1","short-term"
"A1G187YBG0DVMQ",3,3,"commitment",7,"1","short-term"
"A2BJTPZLXIGO8D",3,3,"commitment",7,"1","recurrance"
"A2DVV59R1CQU6T",3,3,"commitment",7,"1","long-term"
"A2ASTDMWBCFIP0",2,2,"commitment",6,"1","short-term"
"A21BXRUD15TQL8",3,3,"commitment",4,"1","long-term"
"AJ9O2ZA0E8UDZ",3,3,"commitment",7,"1","recurrance"
"A3LL096CAY5WHB",2,2,"commitment",6,"1","recurrance"
"A2LT6KC1X51FVW",2,2,"commitment",7,"1","recurrance"
"AWVLT2L5AP873",3,3,"commitment",6,"1","recurrance"
"A3U4SSUB9ZZ9T0",3,3,"commitment",7,"1","long-term"
"A2R9OK4M877ZCC",3,2,"commitment",7,"1","short-term"
"A1O9PAK6THJ9Y7",2,2,"commitment",5,"1","long-term"
"A2AT6TSPPCR106",4,3,"commitment",6,"1","recurrance"
"A28J7H4TH29DC3",3,3,"commitment",7,"1","short-term"
"A1VRG5HKZC0H0C",5,5,"commitment",7,"1","short-term"
"A351LMMMFYPM7U",5,5,"commitment",6,"1","recurrance"
"A2NHFSO7GMM8QR",2,3,"commitment",7,"1","long-term"
"A2VNSNAN1LZBAM",3,3,"commitment",7,"1","long-term"
"A3KIZLHCD945UK",3,3,"commitment",7,"1","short-term"
"A1720HSKGQ41VJ",4,4,"commitment",6,"1","short-term"
"A26NGLGGFTATVN",2,2,"commitment",7,"1","recurrance"
"A30HUZHJBOX1LK",2,2,"commitment",7,"1","recurrance"
"A4BDXOXC4D8FX",3,3,"commitment",7,"1","short-term"
