"MTurkCode","goal","terminate_time","Value","Clarity","External","Consensus"
"A10LHWALI4BZPC","2","F1",3.5,5.85714285714286,2.2,2
"A11F3MA5FWH6SJ","3","F1",4.9,5.57142857142857,4.6,2
"A13FUEPWBCLBUY","2","F1",5.8,4,3.8,4.5
"A1561P9VVA3C1C","2","F1",4.2,5.14285714285714,5.2,3.5
"A16Z9FSSF1X74O","3","F1",3.7,3,1.6,0
"A1720HSKGQ41VJ","1","F1",4.9,5.28571428571429,4,3.25
"A198MSVO1VTAT5","1","F1",3.7,6.42857142857143,3.4,3.75
"A198MSVO1VTAT5","2","F1",3.3,6.42857142857143,3.6,3.75
"A19YQU3ZZ8USPO","2","F1",NA,5.85714285714286,2.6,-0.75
"A1BIJGB7XA0GME","1","F1",4.7,6.42857142857143,7,5
"A1BSVEBYDZ0AAU","3","F1",3.1,4,1.6,3.75
"A1G187YBG0DVMQ","3","F1",3.2,2.28571428571429,3.6,3
"A1J8TVICSRC70W","1","F1",4.8,3.57142857142857,3.6,4.25
"A1J8TVICSRC70W","3","F1",3.2,3.28571428571429,2.4,1
"A1J8TVICSRC70W","5","F1",4.1,4.28571428571429,5.6,1.75
"A1K8VUKRL53OX","1","F1",6.7,5,5.8,4
"A1KC342L9WAQ2","1","F1",6.3,5.28571428571429,6.6,2
"A1QT7BQZVOBSY0","2","F1",5.2,6.42857142857143,2.6,2.25
"A1R5W4RQZTROD8","2","F1",3.3,2.57142857142857,1.8,0.25
"A1SL72YBUW8Q8K","4","F1",4,4.71428571428571,2.2,3
"A1TPGXT718D68E","2","F1",5.9,6.42857142857143,5.8,5
"A1VRG5HKZC0H0C","1","F1",4.7,5.14285714285714,3.2,0.75
"A1WJYF201K77BI","4","F1",4.5,3.85714285714286,2.6,-0.25
"A1WJYF201K77BI","5","F1",4.4,5.42857142857143,1.8,3
"A1WQACYPLESVGL","4","F1",5.7,5.42857142857143,1.2,3.5
"A21ZYTE6WOKUA","1","F1",6.5,5.57142857142857,3.4,3.25
"A21ZYTE6WOKUA","2","F1",6.6,6.42857142857143,5.4,3
"A225BMTMXUR5F4","1","F1",6.5,6,2.2,2.75
"A22SZHZTF72TRM","1","F1",6,6.42857142857143,3.6,3.25
"A26UAJWMMNN351","2","F1",3.8,3.85714285714286,4,3.25
"A2FP41BSPG0Y4A","4","F1",4.3,3,3.4,2.5
"A2FP41BSPG0Y4A","5","F1",5.9,5.14285714285714,4.6,1.75
"A2H0VR477QHYO7","1","F1",6.3,5.57142857142857,5.2,3.25
"A2H0VR477QHYO7","3","F1",6.1,3.71428571428571,6.6,4
"A2IJEKMVEHQ90W","5","F1",4.3,5.28571428571429,4.6,2.75
"A2R9OK4M877ZCC","2","F1",6.1,6,5.4,4.5
"A2W0G89O7E9EFO","2","F1",4.8,6,2.8,2.5
"A2Y0WNHMT4PZ4C","2","F1",5.3,4.42857142857143,4.8,4.5
"A30FIPRPFQRBO6","2","F1",6.5,4.57142857142857,6.4,5
"A30FIPRPFQRBO6","3","F1",5.7,5.71428571428571,5,3.5
"A36ZURENFWTYOZ","2","F1",4.3,3.42857142857143,1,3.75
"A36ZURENFWTYOZ","5","F1",6.3,6,5.6,4.25
"A39H9RIYRB5ZYV","5","F1",6,5.28571428571429,2.8,2.5
"A3GI28OVLDI9ST","1","F1",5.9,6,4.6,1.75
"A3GZXU4FUJTKZD","1","F1",4.3,4,7,2.75
"A3KFFIBJZVM0J2","1","F1",4.3,5.57142857142857,4.2,1.75
"A3KFFIBJZVM0J2","4","F1",4.6,6.28571428571429,6.2,3.5
"A3KIZLHCD945UK","2","F1",5.4,6.42857142857143,3,4
"A3KNLR8H286IHT","2","F1",4.9,6.42857142857143,1.8,2
"A3KNLR8H286IHT","3","F1",6,6.42857142857143,4,3
"A3LL096CAY5WHB","1","F1",NA,3.42857142857143,5.4,2.25
"A3LL096CAY5WHB","2","F1",5.6,2.85714285714286,4.8,3
"A3M81P9BEVE1GD","2","F1",6,5,6,2
"A3M81P9BEVE1GD","3","F1",5.8,4.57142857142857,7,3.25
"A3NLSGHK6RFXA8","2","F1",5.9,5.42857142857143,4,3.5
"A3OPRR8AXT6OSJ","3","F1",5.2,6.14285714285714,1.8,2
"A3ROYUO9LWA22S","1","F1",5.3,6.42857142857143,4.8,4
"A3VYBAO7UQQHGC","2","F1",6.1,6.42857142857143,3.4,3.5
"A5A14MTB35J23","4","F1",4.8,4.57142857142857,2.4,1.25
"AHGDYNKOKJWFJ","2","F1",5,5.14285714285714,4.2,3.5
"AHKRGPN5D3I2G","3","F1",6.2,6.14285714285714,5.4,3.25
"AJ4T7PTRYNSUW","2","F1",4.6,4,5.8,4.25
"AJDHPRCJ985C7","4","F1",4.2,5.85714285714286,2.2,0.5
"AL7UTA8J27TFK","3","F1",5.4,6.14285714285714,3,2.75
"AMTTB8JUWRRM7","2","F1",4.9,4,2,4.5
"ASY5W2HJPIPF4","1","F1",2.7,6.42857142857143,2.2,-0.5
"AUQTHU5AOZVQC","1","F1",6.6,6.42857142857143,5.2,3.75
"AUQTHU5AOZVQC","5","F1",6,6.14285714285714,5.6,4
"AWTGJ45ZWUCHH","4","F1",6.2,6.42857142857143,4,2
"AWTGJ45ZWUCHH","5","F1",4,5.14285714285714,1.6,2
"AY4E4CDN0J6JL","4","F1",3.9,4.42857142857143,3,1.5
"AY5QPUSEADPBG","2","F1",5.6,2,2.8,2
"AYA1LRB27KSR1","1","F1",6.2,3.42857142857143,3.6,5
"A110BZSDZN7E16","1","F2",6.7,6.42857142857143,3.2,2.75
"A121T4P5NKCHCS","1","F2",5.8,5.85714285714286,5,3
"A15VI0QFR2YO50","2","F2",6,5.85714285714286,5.4,3.5
"A169WH54HMYS5Z","2","F2",4.6,3.85714285714286,2.2,1.5
"A16Z9FSSF1X74O","1","F2",6.4,5,5.2,5
"A16Z9FSSF1X74O","2","F2",6.1,3,1.8,4
"A1720HSKGQ41VJ","3","F2",3.4,4.42857142857143,5.4,4
"A17KN7NAP48L4B","1","F2",6.4,6.42857142857143,3.2,3.75
"A17KN7NAP48L4B","3","F2",4.6,3.85714285714286,1.6,3
"A1ABL45KAK12A5","2","F2",3.1,4,2.2,2.5
"A1D2ZSPIHOI23K","1","F2",3.9,3.85714285714286,4.4,2.25
"A1D2ZSPIHOI23K","2","F2",NA,2.57142857142857,3.2,2
"A1G187YBG0DVMQ","1","F2",5.1,4.71428571428571,3.6,3.25
"A1G187YBG0DVMQ","2","F2",4.4,3.42857142857143,3.8,2.75
"A1H5Q9HRH4RPZU","3","F2",3.6,4.28571428571429,3.6,4.25
"A1IBLFQ2E6VA2J","1","F2",5.2,6.28571428571429,5.8,2.75
"A1IBLFQ2E6VA2J","2","F2",6.8,5.71428571428571,6.2,2.5
"A1IBLFQ2E6VA2J","5","F2",6.2,3.57142857142857,3.8,3
"A1J8TVICSRC70W","2","F2",4,4,4,3.5
"A1J8TVICSRC70W","4","F2",4.1,3.28571428571429,4.2,3.75
"A1KC342L9WAQ2","2","F2",5.4,4.71428571428571,5,2.25
"A1MJWY7UO3CDSM","1","F2",6.2,5.42857142857143,4.6,4.25
"A1OR82RF1ZFWP","1","F2",6,6.28571428571429,6.4,4.5
"A1OR82RF1ZFWP","2","F2",4.5,3.85714285714286,1.2,0.75
"A1QT7BQZVOBSY0","3","F2",4.2,6,1.6,1
"A1TPGXT718D68E","3","F2",5.5,5.42857142857143,5.8,3
"A1VRG5HKZC0H0C","2","F2",6.2,5.71428571428571,6,4.5
"A1VRG5HKZC0H0C","3","F2",5.5,4.85714285714286,6.2,3.75
"A1WJYF201K77BI","1","F2",6,5,4.2,4.5
"A1WJYF201K77BI","2","F2",5.3,4.71428571428571,4.2,3
"A1WQACYPLESVGL","2","F2",4.7,5.14285714285714,3.2,3.25
"A1XUZFDVKP95VC","2","F2",6.2,6,5.2,NA
"A1Z2ZGPJRGG0G3","3","F2",4.7,5.71428571428571,1.6,1
"A21ZYTE6WOKUA","3","F2",6.3,5.85714285714286,7,3.5
"A286W816CMIZL9","3","F2",4.7,4.71428571428571,2.2,4
"A2ASTDMWBCFIP0","2","F2",5.6,5.71428571428571,4.8,4
"A2AT6TSPPCR106","3","F2",5.7,6.28571428571429,2.4,2.75
