"MTurkCode","goal","status","listNum","time_point","variable","adjustBase_rating"
"A11ILN5YSUDVG8","1","adjusted",3,"F1","affordance",6
"A132GRVDGXPJGY","1","adjusted",3,"F1","affordance",2
"A13FUEPWBCLBUY","1","adjusted",2,"F1","affordance",7
"A17KN7NAP48L4B","3","adjusted",3,"F1","affordance",4
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","affordance",6
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","affordance",7
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","affordance",6
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","affordance",3
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","affordance",4
"A286W816CMIZL9","3","adjusted",3,"F1","affordance",3
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","affordance",5
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","affordance",6
"A350SLJRMBIFM4","2","adjusted",4,"F1","affordance",5
"A3989GRV3UV5VW","2","adjusted",3,"F1","affordance",7
"A3EXD5E390Z6B3","1","adjusted",3,"F1","affordance",3
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","affordance",4
"A3NKNOE5HIXXL","3","adjusted",3,"F1","affordance",5
"A3OLRWACCCCUTU","1","adjusted",5,"F1","affordance",5
"A3OLRWACCCCUTU","5","adjusted",5,"F1","affordance",5
"A49CVVOWN4D6Y","1","adjusted",5,"F1","affordance",5
"A11ILN5YSUDVG8","1","adjusted",3,"F1","approach_avoidance",2
"A132GRVDGXPJGY","1","adjusted",3,"F1","approach_avoidance",1
"A13FUEPWBCLBUY","1","adjusted",2,"F1","approach_avoidance",1
"A17KN7NAP48L4B","3","adjusted",3,"F1","approach_avoidance",1
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","approach_avoidance",2
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","approach_avoidance",1
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","approach_avoidance",1
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","approach_avoidance",1
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","approach_avoidance",5
"A286W816CMIZL9","3","adjusted",3,"F1","approach_avoidance",1
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","approach_avoidance",1
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","approach_avoidance",1
"A350SLJRMBIFM4","2","adjusted",4,"F1","approach_avoidance",2
"A3989GRV3UV5VW","2","adjusted",3,"F1","approach_avoidance",1
"A3EXD5E390Z6B3","1","adjusted",3,"F1","approach_avoidance",1
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","approach_avoidance",2
"A3NKNOE5HIXXL","3","adjusted",3,"F1","approach_avoidance",1
"A3OLRWACCCCUTU","1","adjusted",5,"F1","approach_avoidance",1
"A3OLRWACCCCUTU","5","adjusted",5,"F1","approach_avoidance",1
"A49CVVOWN4D6Y","1","adjusted",5,"F1","approach_avoidance",5
"A11ILN5YSUDVG8","1","adjusted",3,"F1","attainability",8
"A132GRVDGXPJGY","1","adjusted",3,"F1","attainability",10
"A13FUEPWBCLBUY","1","adjusted",2,"F1","attainability",10
"A17KN7NAP48L4B","3","adjusted",3,"F1","attainability",8
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","attainability",9
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","attainability",7
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","attainability",8
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","attainability",7
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","attainability",6
"A286W816CMIZL9","3","adjusted",3,"F1","attainability",9
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","attainability",10
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","attainability",9
"A350SLJRMBIFM4","2","adjusted",4,"F1","attainability",9
"A3989GRV3UV5VW","2","adjusted",3,"F1","attainability",8
"A3EXD5E390Z6B3","1","adjusted",3,"F1","attainability",10
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","attainability",6
"A3NKNOE5HIXXL","3","adjusted",3,"F1","attainability",8
"A3OLRWACCCCUTU","1","adjusted",5,"F1","attainability",9
"A3OLRWACCCCUTU","5","adjusted",5,"F1","attainability",11
"A49CVVOWN4D6Y","1","adjusted",5,"F1","attainability",7
"A11ILN5YSUDVG8","1","adjusted",3,"F1","attainment_maintenance",1
"A132GRVDGXPJGY","1","adjusted",3,"F1","attainment_maintenance",1
"A13FUEPWBCLBUY","1","adjusted",2,"F1","attainment_maintenance",6
"A17KN7NAP48L4B","3","adjusted",3,"F1","attainment_maintenance",6
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","attainment_maintenance",4
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","attainment_maintenance",1
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","attainment_maintenance",8
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","attainment_maintenance",1
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","attainment_maintenance",7
"A286W816CMIZL9","3","adjusted",3,"F1","attainment_maintenance",7
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","attainment_maintenance",4
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","attainment_maintenance",7
"A350SLJRMBIFM4","2","adjusted",4,"F1","attainment_maintenance",3
"A3989GRV3UV5VW","2","adjusted",3,"F1","attainment_maintenance",5
"A3EXD5E390Z6B3","1","adjusted",3,"F1","attainment_maintenance",7
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","attainment_maintenance",3
"A3NKNOE5HIXXL","3","adjusted",3,"F1","attainment_maintenance",7
"A3OLRWACCCCUTU","1","adjusted",5,"F1","attainment_maintenance",1
"A3OLRWACCCCUTU","5","adjusted",5,"F1","attainment_maintenance",1
"A49CVVOWN4D6Y","1","adjusted",5,"F1","attainment_maintenance",1
"A11ILN5YSUDVG8","1","adjusted",3,"F1","attractiveness_achievement",6
"A132GRVDGXPJGY","1","adjusted",3,"F1","attractiveness_achievement",6
"A13FUEPWBCLBUY","1","adjusted",2,"F1","attractiveness_achievement",7
"A17KN7NAP48L4B","3","adjusted",3,"F1","attractiveness_achievement",6
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","attractiveness_achievement",5
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","attractiveness_achievement",6
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","attractiveness_achievement",6
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","attractiveness_achievement",6
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","attractiveness_achievement",4
"A286W816CMIZL9","3","adjusted",3,"F1","attractiveness_achievement",6
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","attractiveness_achievement",6
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","attractiveness_achievement",6
"A350SLJRMBIFM4","2","adjusted",4,"F1","attractiveness_achievement",5
"A3989GRV3UV5VW","2","adjusted",3,"F1","attractiveness_achievement",5
"A3EXD5E390Z6B3","1","adjusted",3,"F1","attractiveness_achievement",6
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","attractiveness_achievement",4
"A3NKNOE5HIXXL","3","adjusted",3,"F1","attractiveness_achievement",7
"A3OLRWACCCCUTU","1","adjusted",5,"F1","attractiveness_achievement",7
"A3OLRWACCCCUTU","5","adjusted",5,"F1","attractiveness_achievement",7
"A49CVVOWN4D6Y","1","adjusted",5,"F1","attractiveness_achievement",7
"A11ILN5YSUDVG8","1","adjusted",3,"F1","attractiveness_progress",6
"A132GRVDGXPJGY","1","adjusted",3,"F1","attractiveness_progress",6
"A13FUEPWBCLBUY","1","adjusted",2,"F1","attractiveness_progress",7
"A17KN7NAP48L4B","3","adjusted",3,"F1","attractiveness_progress",5
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","attractiveness_progress",5
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","attractiveness_progress",6
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","attractiveness_progress",6
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","attractiveness_progress",6
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","attractiveness_progress",4
"A286W816CMIZL9","3","adjusted",3,"F1","attractiveness_progress",6
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","attractiveness_progress",6
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","attractiveness_progress",6
"A350SLJRMBIFM4","2","adjusted",4,"F1","attractiveness_progress",5
"A3989GRV3UV5VW","2","adjusted",3,"F1","attractiveness_progress",5
"A3EXD5E390Z6B3","1","adjusted",3,"F1","attractiveness_progress",6
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","attractiveness_progress",4
"A3NKNOE5HIXXL","3","adjusted",3,"F1","attractiveness_progress",6
"A3OLRWACCCCUTU","1","adjusted",5,"F1","attractiveness_progress",7
"A3OLRWACCCCUTU","5","adjusted",5,"F1","attractiveness_progress",7
"A49CVVOWN4D6Y","1","adjusted",5,"F1","attractiveness_progress",6
"A11ILN5YSUDVG8","1","adjusted",3,"F1","basic_needs",7
"A132GRVDGXPJGY","1","adjusted",3,"F1","basic_needs",6
"A13FUEPWBCLBUY","1","adjusted",2,"F1","basic_needs",7
"A17KN7NAP48L4B","3","adjusted",3,"F1","basic_needs",5
"A19YQU3ZZ8USPO","1","adjusted",3,"F1","basic_needs",1
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1","basic_needs",1
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1","basic_needs",7
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1","basic_needs",1
"A1M8BYIP0KZJZX","1","adjusted",5,"F1","basic_needs",7
"A286W816CMIZL9","3","adjusted",3,"F1","basic_needs",5
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1","basic_needs",5
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1","basic_needs",7
"A350SLJRMBIFM4","2","adjusted",4,"F1","basic_needs",3
"A3989GRV3UV5VW","2","adjusted",3,"F1","basic_needs",7
"A3EXD5E390Z6B3","1","adjusted",3,"F1","basic_needs",6
"A3KIDRWRKC7RI5","5","adjusted",5,"F1","basic_needs",2
"A3NKNOE5HIXXL","3","adjusted",3,"F1","basic_needs",6
