"MTurkCode","goal","status","listNum","time_point","affordance","approach_avoidance","attainability","attainment_maintenance","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity","external_importance","external_motivation","failure","frequency","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
"A11ILN5YSUDVG8","1","adjusted",3,"F1",6,2,8,1,6,6,7,6,7,6,2,6,4,6,7,3,4,6,2,3,2,6,6,6,7,1,6,5,6,6,6,5,3,7,7,6,6,1,2,7,6
"A132GRVDGXPJGY","1","adjusted",3,"F1",2,1,10,1,6,6,6,6,7,2,4,7,5,7,5,5,1,5,7,2,1,4,7,6,7,1,7,1,5,4,7,3,1,2,7,7,6,7,3,5,6
"A13FUEPWBCLBUY","1","adjusted",2,"F1",7,1,10,6,7,7,7,7,7,7,1,4,6,7,4,7,1,4,2,3,2,7,7,7,7,1,5,5,6,7,7,6,3,2,7,7,7,7,5,6,7
"A17KN7NAP48L4B","3","adjusted",3,"F1",4,1,8,6,6,5,5,5,6,3,1,6,4,6,4,4,4,4,1,1,2,2,5,5,4,6,7,1,1,3,4,4,1,3,5,6,4,4,4,4,4
"A19YQU3ZZ8USPO","1","adjusted",3,"F1",6,2,9,4,5,5,1,7,5,1,2,7,3,6,3,5,1,3,2,3,2,3,5,5,4,3,6,5,1,4,4,1,1,3,3,6,2,4,4,2,1
"A1AZLJ3R5FQ9B7","2","adjusted",3,"F1",7,1,7,1,6,6,1,6,4,1,3,1,4,7,7,4,1,4,1,3,2,6,7,6,6,5,1,5,6,NA,7,5,2,6,4,7,5,7,3,5,4
"A1BSVEBYDZ0AAU","1","adjusted",3,"F1",6,1,8,8,6,6,7,6,5,5,4,5,3,7,5,6,1,2,3,3,2,5,7,6,5,4,4,1,3,4,7,1,1,4,5,6,6,4,5,4,3
"A1IBLFQ2E6VA2J","5","adjusted",5,"F1",3,1,7,1,6,6,1,7,4,5,4,4,4,7,5,2,1,2,1,1,1,6,6,6,7,4,5,2,5,3,5,1,1,5,6,5,4,7,3,4,2
"A1M8BYIP0KZJZX","1","adjusted",5,"F1",4,5,6,7,4,4,7,3,6,7,1,6,2,5,7,3,1,4,5,2,2,1,6,2,6,4,7,1,1,1,7,2,2,1,5,2,7,7,4,6,6
"A286W816CMIZL9","3","adjusted",3,"F1",3,1,9,7,6,6,5,5,5,7,1,7,3,7,5,3,2,3,1,3,2,6,6,5,4,3,7,1,3,4,7,1,1,6,4,7,6,7,3,4,1
"A2VGEE0ZIZ8CBQ","1","adjusted",3,"F1",5,1,10,4,6,6,5,7,7,4,3,5,3,6,6,7,1,7,4,3,2,7,7,6,7,3,6,4,6,5,7,6,5,3,7,7,7,7,4,4,6
"A2ZGAH6NOSU2PO","3","adjusted",5,"F1",6,1,9,7,6,6,7,6,4,6,1,5,4,7,5,4,1,5,7,3,2,6,7,5,7,1,5,3,6,3,7,5,3,4,5,7,5,6,2,6,3
"A350SLJRMBIFM4","2","adjusted",4,"F1",5,2,9,3,5,5,3,6,5,4,1,4,3,6,4,6,3,2,1,3,1,4,6,5,4,1,3,4,1,3,4,2,1,4,4,5,5,4,3,5,3
"A3989GRV3UV5VW","2","adjusted",3,"F1",7,1,8,5,5,5,7,6,6,6,2,3,3,7,5,5,3,6,3,1,2,6,7,5,6,2,4,5,4,5,4,5,1,4,5,7,6,3,3,5,4
"A3EXD5E390Z6B3","1","adjusted",3,"F1",3,1,10,7,6,6,6,6,7,6,7,2,4,4,4,6,2,4,3,3,2,7,7,5,7,1,5,4,6,5,7,3,4,4,6,4,7,7,4,5,7
"A3KIDRWRKC7RI5","5","adjusted",5,"F1",4,2,6,3,4,4,2,5,4,3,3,2,3,6,6,4,1,2,4,1,2,4,4,5,4,5,3,3,5,2,3,2,1,5,4,5,4,4,3,3,2
