"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base","total_goal","commitment","effort","failure","implementation_intention","initial_time","other_resources","procrastination","regret","self_resources","urgency","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3","final_time","miss_final","all_progress","progress_final","satisfaction_final","status_final"
"A10LHWALI4BZPC",4,1,NA,"recurrance",9,7,10,7,6,3,7,1,2,2,4,7,4,3,5,5,5,10,2,7,7,"continued",3,2,5,5,5,10,5,6,6,"continued",4,4,5,5,6,10,3,6,6,"continued",4,NA,1.66666666666667,1.66666666666667,2,"F3",FALSE,TRUE,10,6,"continued"
"A10LHWALI4BZPC",4,2,"next_month","short-term",6,5,10,6,4,1,6,3,6,1,3,5,3,3,7,5,7,10,7,7,7,"completed",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.66666666666667,NA,NA,"F1",FALSE,NA,10,7,"completed"
"A10LHWALI4BZPC",4,3,NA,"long-term",2,3,10,4,4,3,5,3,7,2,4,6,2,5,4,4,5,3,3,3,3,"continued",4,2,6,4,6,6,5,6,5,"continued",3,4,4,5,3,4,6,5,3,"continued",4,NA,3.16666666666667,1.5,3.16666666666667,"F3",FALSE,TRUE,4,3,"continued"
"A110BZSDZN7E16",3,1,"three_month","short-term",7,6,4,7,7,2,7,1,5,1,7,7,6,1,7,7,7,11,5,7,7,"continued",7,1,7,7,7,11,5,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",1.5,2.16666666666667,NA,"F2",FALSE,NA,11,7,"completed"
"A110BZSDZN7E16",3,2,"three_month","short-term",3,3,4,7,6,1,6,3,6,1,7,6,5,7,7,6,6,1,3,5,1,"continued",6,2,7,7,6,5,5,6,5,"continued",6,1,7,7,7,8,3,7,6,"adjusted",5,NA,1.5,1.66666666666667,1.5,"F3",FALSE,TRUE,8,6,"adjusted"
"A110BZSDZN7E16",3,3,NA,"long-term",6,6,4,7,7,1,7,3,1,1,7,7,6,4,7,7,7,9,6,7,7,"continued",7,1,7,7,7,7,5,7,7,"continued",7,1,7,7,7,11,7,7,7,"completed",7,"F3",1.66666666666667,2,1.66666666666667,"F3",FALSE,TRUE,11,7,"completed"
"A11F3MA5FWH6SJ",3,1,NA,"recurrance",0,1,3,7,2,3,4,3,4,6,7,7,7,6,4,4,4,5,1,4,4,"continued",4,6,4,4,5,5,4,4,2,"adjusted",4,1,6,5,7,8,1,7,5,"completed",7,"F3",3.5,2.83333333333333,2.66666666666667,"F3",FALSE,TRUE,8,5,"completed"
"A11F3MA5FWH6SJ",3,2,NA,"recurrance",5,5,3,6,4,3,5,1,4,4,6,5,5,1,7,7,4,5,1,7,4,"continued",7,1,7,7,7,11,4,7,7,"continued",7,1,7,7,7,11,4,5,7,"completed",7,"F3",2.16666666666667,2,2.33333333333333,"F3",FALSE,TRUE,11,7,"completed"
"A11F3MA5FWH6SJ",3,3,"three_month","short-term",0,1,3,7,7,2,5,1,2,2,7,5,7,1,7,7,7,11,1,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",2.66666666666667,NA,NA,"F1",FALSE,NA,11,7,"completed"
"A11ILN5YSUDVG8",3,1,NA,"recurrance",7,2,3,6,4,3,6,5,5,6,6,6,6,6,2,2,2,1,3,6,1,"adjusted",5,6,7,5,5,NA,4,7,NA,"continued",6,2,5,5,5,NA,4,5,NA,"continued",5,NA,2.83333333333333,2.83333333333333,2.16666666666667,"F3",FALSE,NA,NA,NA,"continued"
"A11ILN5YSUDVG8",3,2,NA,"recurrance",3,4,3,7,4,1,6,4,6,3,4,6,6,2,6,5,4,6,5,5,5,"continued",3,2,6,6,6,6,7,7,5,"continued",6,1,6,6,7,9,7,7,6,"continued",6,NA,1.66666666666667,1.5,1.66666666666667,"F3",FALSE,TRUE,9,6,"continued"
"A11ILN5YSUDVG8",3,3,NA,"long-term",1,3,3,7,4,3,5,3,6,4,7,6,5,5,6,4,6,2,6,6,3,"continued",6,3,6,6,6,5,6,7,4,"continued",6,5,5,4,4,2,5,5,2,"continued",5,NA,2.16666666666667,2.5,2.66666666666667,"F3",FALSE,TRUE,2,2,"continued"
"A121T4P5NKCHCS",3,1,"three_month","short-term",5,6,3,7,7,1,7,8,5,2,7,7,7,1,7,7,7,5,6,7,7,"continued",7,1,7,7,7,10,6,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",1.5,1.5,NA,"F2",FALSE,NA,10,7,"completed"
"A121T4P5NKCHCS",3,2,"three_month","short-term",1,5,3,7,6,2,5,2,4,2,5,7,6,4,7,6,5,3,2,7,5,"continued",7,3,6,7,5,6,2,6,5,"continued",7,1,7,7,7,10,5,7,7,"completed",6,"F3",1.5,1.5,1.83333333333333,"F3",FALSE,TRUE,10,7,"completed"
"A121T4P5NKCHCS",3,3,"three_month","short-term",0,2,3,7,3,3,7,1,2,5,6,6,7,5,4,4,3,2,1,6,3,"continued",4,4,5,4,6,5,4,6,4,"continued",4,8,3,3,2,2,1,6,1,"abandoned",2,"F3",2.33333333333333,2.33333333333333,4.16666666666667,"F3",FALSE,TRUE,2,1,"abandoned"
"A12JKSH2NE5W9N",2,1,NA,"recurrance",8,4,2,7,6,3,7,3,6,3,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"A12JKSH2NE5W9N",2,2,NA,"long-term",1,5,2,7,6,3,5,1,7,5,7,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"A132GRVDGXPJGY",3,1,"three_month","short-term",3,3,3,7,6,2,4,2,5,2,7,7,6,8,1,1,1,0,4,3,1,"adjusted",1,4,3,1,7,NA,1,7,NA,"continued",1,8,2,1,4,NA,1,3,NA,"continued",1,NA,2.16666666666667,1.66666666666667,1.83333333333333,"F3",FALSE,NA,NA,NA,"continued"
"A132GRVDGXPJGY",3,2,"three_month","short-term",1,1,3,5,5,3,5,1,2,4,7,6,7,8,4,6,6,4,3,6,2,"continued",4,7,4,5,5,2,3,3,1,"continued",5,8,5,6,6,2,5,3,1,"continued",7,NA,3,3.5,3.83333333333333,"F3",FALSE,TRUE,2,1,"continued"
"A132GRVDGXPJGY",3,3,"next_month","short-term",1,1,3,7,7,3,4,1,7,5,7,7,7,7,2,3,6,2,1,5,3,"continued",3,8,2,5,6,3,1,3,2,"adjusted",4,7,1,1,1,0,4,1,1,"abandoned",1,"F3",3.16666666666667,2.5,4.33333333333333,"F3",FALSE,TRUE,0,1,"abandoned"
"A13FUEPWBCLBUY",2,1,NA,"recurrance",9,6,2,7,7,3,7,3,5,2,7,7,6,1,7,7,7,9,7,7,7,"adjusted",6,1,7,7,7,11,5,7,7,"continued",5,1,7,7,7,9,5,7,6,"continued",5,NA,1.4,2,1.83333333333333,"F3",FALSE,TRUE,9,6,"continued"
"A13FUEPWBCLBUY",2,2,NA,"recurrance",9,6,2,7,6,3,7,3,6,2,6,7,6,8,1,1,7,1,4,4,1,"abandoned",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",4.16666666666667,NA,NA,"F1",FALSE,NA,1,1,"abandoned"
"A13O22EMG5ZVN0",3,1,NA,"recurrance",4,3,5,3,5,1,5,1,2,6,4,4,4,6,4,4,4,3,3,4,2,"continued",4,2,6,5,5,6,4,4,3,"continued",6,5,4,4,4,5,3,4,4,"continued",5,NA,3.16666666666667,3,3.5,"F3",FALSE,TRUE,5,4,"continued"
"A13O22EMG5ZVN0",3,2,NA,"recurrance",4,1,5,4,4,2,4,1,4,4,7,4,4,7,4,5,2,3,1,2,1,"continued",6,7,1,1,1,0,1,1,1,"continued",7,7,2,1,4,3,4,4,1,"continued",4,NA,2,1.83333333333333,4.16666666666667,"F3",FALSE,TRUE,3,1,"continued"
"A13O22EMG5ZVN0",3,3,NA,"recurrance",4,2,5,6,4,1,4,1,4,3,4,5,4,5,4,4,3,3,3,3,4,"continued",3,6,4,4,5,5,4,4,4,"continued",5,5,4,3,4,5,5,4,4,"continued",4,NA,2.66666666666667,3.16666666666667,3.16666666666667,"F3",FALSE,TRUE,5,4,"continued"
"A13WTEQ06V3B6D",3,1,NA,"recurrance",6,2,3,7,5,3,7,3,7,4,7,7,5,5,5,5,6,6,7,6,2,"continued",4,5,3,2,2,4,1,5,1,"continued",3,1,7,7,7,9,1,7,7,"completed",7,"F3",2.33333333333333,3.66666666666667,2.16666666666667,"F3",FALSE,TRUE,9,7,"completed"
"A13WTEQ06V3B6D",3,2,NA,"recurrance",5,1,3,6,6,3,6,2,6,4,6,6,6,1,7,7,7,8,6,7,7,"continued",7,6,4,4,5,5,7,5,2,"continued",3,7,3,4,6,5,7,5,1,"adjusted",4,NA,1.83333333333333,2.66666666666667,3.83333333333333,"F3",FALSE,TRUE,5,1,"adjusted"
