"MTurkCode","listNum","goal","goalType","variable","rating","timeStamp","terminate_time"
"A10LHWALI4BZPC",4,1,"recurrance","endTime",NA,"baseline",NA
"A10LHWALI4BZPC",4,2,"short-term","endTime",NA,"baseline",NA
"A10LHWALI4BZPC",4,3,"long-term","endTime",NA,"baseline",NA
"A10LHWALI4BZPC",4,4,"recurrance","endTime",NA,"baseline",NA
"A110BZSDZN7E16",3,1,"short-term","endTime",NA,"baseline",NA
"A110BZSDZN7E16",3,2,"short-term","endTime",NA,"baseline",NA
"A110BZSDZN7E16",3,3,"long-term","endTime",NA,"baseline",NA
"A11F3MA5FWH6SJ",3,1,"recurrance","endTime",NA,"baseline",NA
"A11F3MA5FWH6SJ",3,2,"recurrance","endTime",NA,"baseline",NA
"A11F3MA5FWH6SJ",3,3,"short-term","endTime",NA,"baseline",NA
"A11ILN5YSUDVG8",3,1,"recurrance","endTime",NA,"baseline",NA
"A11ILN5YSUDVG8",3,2,"recurrance","endTime",NA,"baseline",NA
"A11ILN5YSUDVG8",3,3,"long-term","endTime",NA,"baseline",NA
"A121T4P5NKCHCS",3,1,"short-term","endTime",NA,"baseline",NA
"A121T4P5NKCHCS",3,2,"short-term","endTime",NA,"baseline",NA
"A121T4P5NKCHCS",3,3,"short-term","endTime",NA,"baseline",NA
"A12JKSH2NE5W9N",2,1,"recurrance","endTime",NA,"baseline",NA
"A12JKSH2NE5W9N",2,2,"long-term","endTime",NA,"baseline",NA
"A132GRVDGXPJGY",3,1,"short-term","endTime",NA,"baseline",NA
"A132GRVDGXPJGY",3,2,"short-term","endTime",NA,"baseline",NA
"A132GRVDGXPJGY",3,3,"short-term","endTime",NA,"baseline",NA
"A13FUEPWBCLBUY",2,1,"recurrance","endTime",NA,"baseline",NA
"A13FUEPWBCLBUY",2,2,"recurrance","endTime",NA,"baseline",NA
"A13O22EMG5ZVN0",3,1,"recurrance","endTime",NA,"baseline",NA
"A13O22EMG5ZVN0",3,2,"recurrance","endTime",NA,"baseline",NA
"A13O22EMG5ZVN0",3,3,"recurrance","endTime",NA,"baseline",NA
"A13WTEQ06V3B6D",3,1,"recurrance","endTime",NA,"baseline",NA
"A13WTEQ06V3B6D",3,2,"recurrance","endTime",NA,"baseline",NA
"A13WTEQ06V3B6D",3,3,"short-term","endTime",NA,"baseline",NA
"A1561P9VVA3C1C",3,1,"recurrance","endTime",NA,"baseline",NA
"A1561P9VVA3C1C",3,2,"short-term","endTime",NA,"baseline",NA
"A1561P9VVA3C1C",3,3,"long-term","endTime",NA,"baseline",NA
"A15VI0QFR2YO50",2,1,"short-term","endTime",NA,"baseline",NA
"A15VI0QFR2YO50",2,2,"short-term","endTime",NA,"baseline",NA
"A160L76BFKQQ1Q",3,1,"recurrance","endTime",NA,"baseline",NA
"A160L76BFKQQ1Q",3,2,"short-term","endTime",NA,"baseline",NA
"A160L76BFKQQ1Q",3,3,"recurrance","endTime",NA,"baseline",NA
"A169WH54HMYS5Z",3,1,"recurrance","endTime",NA,"baseline",NA
"A169WH54HMYS5Z",3,2,"recurrance","endTime",NA,"baseline",NA
"A169WH54HMYS5Z",3,3,"recurrance","endTime",NA,"baseline",NA
"A16Z9FSSF1X74O",5,1,"recurrance","endTime",NA,"baseline",NA
"A16Z9FSSF1X74O",5,2,"long-term","endTime",NA,"baseline",NA
"A16Z9FSSF1X74O",5,3,"short-term","endTime",NA,"baseline",NA
"A16Z9FSSF1X74O",5,4,"recurrance","endTime",NA,"baseline",NA
"A16Z9FSSF1X74O",5,5,"recurrance","endTime",NA,"baseline",NA
"A1720HSKGQ41VJ",4,1,"short-term","endTime",NA,"baseline",NA
"A1720HSKGQ41VJ",4,2,"short-term","endTime",NA,"baseline",NA
"A1720HSKGQ41VJ",4,3,"long-term","endTime",NA,"baseline",NA
"A1720HSKGQ41VJ",4,4,"recurrance","endTime",NA,"baseline",NA
"A17KN7NAP48L4B",3,1,"short-term","endTime",NA,"baseline",NA
"A17KN7NAP48L4B",3,2,"recurrance","endTime",NA,"baseline",NA
"A17KN7NAP48L4B",3,3,"recurrance","endTime",NA,"baseline",NA
"A18JNQE5GZQIX5",3,1,"recurrance","endTime",NA,"baseline",NA
"A18JNQE5GZQIX5",3,2,"recurrance","endTime",NA,"baseline",NA
"A18JNQE5GZQIX5",3,3,"long-term","endTime",NA,"baseline",NA
"A18SXC3JEN1O0U",2,1,"recurrance","endTime",NA,"baseline",NA
"A18SXC3JEN1O0U",2,2,"recurrance","endTime",NA,"baseline",NA
"A196O7GQLD3S2J",3,1,"short-term","endTime",NA,"baseline",NA
"A196O7GQLD3S2J",3,2,"recurrance","endTime",NA,"baseline",NA
"A196O7GQLD3S2J",3,3,"recurrance","endTime",NA,"baseline",NA
"A198MSVO1VTAT5",4,1,"short-term","endTime",NA,"baseline",NA
"A198MSVO1VTAT5",4,2,"short-term","endTime",NA,"baseline",NA
"A198MSVO1VTAT5",4,3,"short-term","endTime",NA,"baseline",NA
"A198MSVO1VTAT5",4,4,"short-term","endTime",NA,"baseline",NA
"A19YQU3ZZ8USPO",3,1,"recurrance","endTime",NA,"baseline",NA
"A19YQU3ZZ8USPO",3,2,"short-term","endTime",NA,"baseline",NA
"A19YQU3ZZ8USPO",3,3,"recurrance","endTime",NA,"baseline",NA
"A1ABL45KAK12A5",5,1,"recurrance","endTime",NA,"baseline",NA
"A1ABL45KAK12A5",5,2,"recurrance","endTime",NA,"baseline",NA
"A1ABL45KAK12A5",5,3,"recurrance","endTime",NA,"baseline",NA
"A1ABL45KAK12A5",5,4,"long-term","endTime",NA,"baseline",NA
"A1ABL45KAK12A5",5,5,"recurrance","endTime",NA,"baseline",NA
"A1ADAWW4IHPCQ7",3,1,"long-term","endTime",NA,"baseline",NA
"A1ADAWW4IHPCQ7",3,2,"recurrance","endTime",NA,"baseline",NA
"A1ADAWW4IHPCQ7",3,3,"long-term","endTime",NA,"baseline",NA
"A1AIMKA54UBYIQ",2,1,"recurrance","endTime",NA,"baseline",NA
"A1AIMKA54UBYIQ",2,2,"recurrance","endTime",NA,"baseline",NA
"A1AZLJ3R5FQ9B7",3,1,"long-term","endTime",NA,"baseline",NA
"A1AZLJ3R5FQ9B7",3,2,"recurrance","endTime",NA,"baseline",NA
"A1AZLJ3R5FQ9B7",3,3,"recurrance","endTime",NA,"baseline",NA
"A1B5SSGMTAQ9B5",2,1,"short-term","endTime",NA,"baseline",NA
"A1B5SSGMTAQ9B5",2,2,"short-term","endTime",NA,"baseline",NA
"A1BG47GSHQ9WSU",2,1,"short-term","endTime",NA,"baseline",NA
"A1BG47GSHQ9WSU",2,2,"recurrance","endTime",NA,"baseline",NA
"A1BIJGB7XA0GME",3,1,"short-term","endTime",NA,"baseline",NA
"A1BIJGB7XA0GME",3,2,"short-term","endTime",NA,"baseline",NA
"A1BIJGB7XA0GME",3,3,"long-term","endTime",NA,"baseline",NA
"A1BSVEBYDZ0AAU",3,1,"recurrance","endTime",NA,"baseline",NA
"A1BSVEBYDZ0AAU",3,2,"recurrance","endTime",NA,"baseline",NA
"A1BSVEBYDZ0AAU",3,3,"recurrance","endTime",NA,"baseline",NA
"A1BWS5AD2T4NIR",5,1,"short-term","endTime",NA,"baseline",NA
"A1BWS5AD2T4NIR",5,2,"recurrance","endTime",NA,"baseline",NA
"A1BWS5AD2T4NIR",5,3,"recurrance","endTime",NA,"baseline",NA
"A1BWS5AD2T4NIR",5,4,"recurrance","endTime",NA,"baseline",NA
"A1BWS5AD2T4NIR",5,5,"long-term","endTime",NA,"baseline",NA
"A1CI5U3BLQ2DDS",5,1,"short-term","endTime",NA,"baseline",NA
"A1CI5U3BLQ2DDS",5,2,"long-term","endTime",NA,"baseline",NA
"A1CI5U3BLQ2DDS",5,3,"recurrance","endTime",NA,"baseline",NA
"A1CI5U3BLQ2DDS",5,4,"recurrance","endTime",NA,"baseline",NA
"A1CI5U3BLQ2DDS",5,5,"recurrance","endTime",NA,"baseline",NA
"A1CTUG0RUGCY48",1,1,"long-term","endTime",NA,"baseline",NA
"A1D2ZSPIHOI23K",3,1,"short-term","endTime",NA,"baseline",NA
"A1D2ZSPIHOI23K",3,2,"recurrance","endTime",NA,"baseline",NA
"A1D2ZSPIHOI23K",3,3,"short-term","endTime",NA,"baseline",NA
"A1D7IULWFI8PB1",3,1,"long-term","endTime",NA,"baseline",NA
"A1D7IULWFI8PB1",3,2,"short-term","endTime",NA,"baseline",NA
"A1D7IULWFI8PB1",3,3,"short-term","endTime",NA,"baseline",NA
"A1DD23J1WBGQUU",3,1,"recurrance","endTime",NA,"baseline",NA
"A1DD23J1WBGQUU",3,2,"recurrance","endTime",NA,"baseline",NA
"A1DD23J1WBGQUU",3,3,"long-term","endTime",NA,"baseline",NA
"A1EH9BPKYXFBS5",5,1,"short-term","endTime",NA,"baseline",NA
"A1EH9BPKYXFBS5",5,2,"recurrance","endTime",NA,"baseline",NA
"A1EH9BPKYXFBS5",5,3,"long-term","endTime",NA,"baseline",NA
"A1EH9BPKYXFBS5",5,4,"recurrance","endTime",NA,"baseline",NA
"A1EH9BPKYXFBS5",5,5,"long-term","endTime",NA,"baseline",NA
"A1F1TBDHPYAAXT",3,1,"short-term","endTime",NA,"baseline",NA
"A1F1TBDHPYAAXT",3,2,"short-term","endTime",NA,"baseline",NA
"A1F1TBDHPYAAXT",3,3,"recurrance","endTime",NA,"baseline",NA
"A1G187YBG0DVMQ",3,1,"short-term","endTime",NA,"baseline",NA
"A1G187YBG0DVMQ",3,2,"long-term","endTime",NA,"baseline",NA
"A1G187YBG0DVMQ",3,3,"recurrance","endTime",NA,"baseline",NA
