"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base","total_goal","commitment","effort","failure","implementation_intention","initial_time","other_resources","procrastination","regret","self_resources","urgency","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3"
"A10LHWALI4BZPC",4,1,NA,"recurrance",9,7,10,7,6,3,7,1,2,2,4,7,4,"3","5","5","5","10","2","7","7","continued","3","2","5","5","5","10","5","6","6","continued","4","4","5","5","6","10","3","6","6","continued","4",NA,1.66666666666667,1.66666666666667,2
"A10LHWALI4BZPC",4,2,"next_month","short-term",6,5,10,6,4,1,6,3,6,1,3,5,3,"3","7","5","7","10","7","7","7","completed","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.66666666666667,NA,NA
"A10LHWALI4BZPC",4,3,NA,"long-term",2,3,10,4,4,3,5,3,7,2,4,6,2,"5","4","4","5","3","3","3","3","continued","4","2","6","4","6","6","5","6","5","continued","3","4","4","5","3","4","6","5","3","continued","4",NA,3.16666666666667,1.5,3.16666666666667
"A10LHWALI4BZPC",4,4,NA,"recurrance",10,7,10,7,7,3,7,2,5,1,6,7,3,"2","7","5","5","10","4","7","7","continued","3","4","7","6","5","9","6","6","7","continued","3","1","7","6","6","10","3","7","7","continued","4",NA,2.16666666666667,2.16666666666667,1.83333333333333
"A110BZSDZN7E16",3,1,"three_month","short-term",7,6,4,7,7,2,7,1,5,1,7,7,6,"1","7","7","7","11","5","7","7","continued","7","1","7","7","7","11","5","7","7","completed","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",1.5,2.16666666666667,NA
"A110BZSDZN7E16",3,2,"three_month","short-term",3,3,4,7,6,1,6,3,6,1,7,6,5,"7","7","6","6","1","3","5","1","continued","6","2","7","7","6","5","5","6","5","continued","6","1","7","7","7","8","3","7","6","adjusted","5",NA,1.5,1.66666666666667,1.5
"A110BZSDZN7E16",3,3,NA,"long-term",6,6,4,7,7,1,7,3,1,1,7,7,6,"4","7","7","7","9","6","7","7","continued","7","1","7","7","7","7","5","7","7","continued","7","1","7","7","7","11","7","7","7","completed","7","F3",1.66666666666667,2,1.66666666666667
"A11F3MA5FWH6SJ",3,1,NA,"recurrance",0,1,3,7,2,3,4,3,4,6,7,7,7,"6","4","4","4","5","1","4","4","continued","4","6","4","4","5","5","4","4","2","adjusted","4","1","6","5","7","8","1","7","5","completed","7","F3",3.5,2.83333333333333,2.66666666666667
"A11F3MA5FWH6SJ",3,2,NA,"recurrance",5,5,3,6,4,3,5,1,4,4,6,5,5,"1","7","7","4","5","1","7","4","continued","7","1","7","7","7","11","4","7","7","continued","7","1","7","7","7","11","4","5","7","completed","7","F3",2.16666666666667,2,2.33333333333333
"A11F3MA5FWH6SJ",3,3,"three_month","short-term",0,1,3,7,7,2,5,1,2,2,7,5,7,"1","7","7","7","11","1","7","7","completed","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",2.66666666666667,NA,NA
