"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base","total_goal","commitment","effort","failure","implementation_intention","initial_time","other_resources","procrastination","regret","self_resources","urgency","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3","final_time","miss_final","all_progress","progress_final","satisfaction_final","status_final","adjust_num"
"A110BZSDZN7E16",3,2,"three_month","short-term",3,3,4,7,6,1,6,3,6,1,7,6,5,7,7,6,6,1,3,5,1,"continued",6,2,7,7,6,5,5,6,5,"continued",6,1,7,7,7,8,3,7,6,"adjusted",5,NA,1.5,1.66666666666667,1.5,"F3",FALSE,TRUE,8,6,"adjusted",2
"A11F3MA5FWH6SJ",3,1,NA,"recurrance",0,1,3,7,2,3,4,3,4,6,7,7,7,6,4,4,4,5,1,4,4,"continued",4,6,4,4,5,5,4,4,2,"adjusted",4,1,6,5,7,8,1,7,5,"completed",7,"F3",3.5,2.83333333333333,2.66666666666667,"F3",FALSE,TRUE,8,5,"completed",1
"A11ILN5YSUDVG8",3,1,NA,"recurrance",7,2,3,6,4,3,6,5,5,6,6,6,6,6,2,2,2,1,3,6,1,"adjusted",5,6,7,5,5,NA,4,7,NA,"continued",6,2,5,5,5,NA,4,5,NA,"continued",5,NA,2.83333333333333,2.83333333333333,2.16666666666667,"F3",FALSE,NA,NA,NA,"continued",1
"A132GRVDGXPJGY",3,1,"three_month","short-term",3,3,3,7,6,2,4,2,5,2,7,7,6,8,1,1,1,0,4,3,1,"adjusted",1,4,3,1,7,NA,1,7,NA,"continued",1,8,2,1,4,NA,1,3,NA,"continued",1,NA,2.16666666666667,1.66666666666667,1.83333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"A132GRVDGXPJGY",3,3,"next_month","short-term",1,1,3,7,7,3,4,1,7,5,7,7,7,7,2,3,6,2,1,5,3,"continued",3,8,2,5,6,3,1,3,2,"adjusted",4,7,1,1,1,0,4,1,1,"abandoned",1,"F3",3.16666666666667,2.5,4.33333333333333,"F3",FALSE,TRUE,0,1,"abandoned",1
"A13FUEPWBCLBUY",2,1,NA,"recurrance",9,6,2,7,7,3,7,3,5,2,7,7,6,1,7,7,7,9,7,7,7,"adjusted",6,1,7,7,7,11,5,7,7,"continued",5,1,7,7,7,9,5,7,6,"continued",5,NA,1.4,2,1.83333333333333,"F3",FALSE,TRUE,9,6,"continued",1
"A13WTEQ06V3B6D",3,2,NA,"recurrance",5,1,3,6,6,3,6,2,6,4,6,6,6,1,7,7,7,8,6,7,7,"continued",7,6,4,4,5,5,7,5,2,"continued",3,7,3,4,6,5,7,5,1,"adjusted",4,NA,1.83333333333333,2.66666666666667,3.83333333333333,"F3",FALSE,TRUE,5,1,"adjusted",2
"A169WH54HMYS5Z",3,1,NA,"recurrance",2,2,3,7,5,3,7,3,4,4,7,7,7,3,6,6,6,6,1,6,4,"continued",6,4,4,4,4,5,2,7,3,"continued",4,8,4,4,6,4,3,6,2,"adjusted",5,NA,2.16666666666667,2.33333333333333,2.66666666666667,"F3",FALSE,TRUE,4,2,"adjusted",2
"A17KN7NAP48L4B",3,3,NA,"recurrance",2,3,3,6,7,3,7,3,5,4,6,7,4,2,4,4,4,5,4,5,4,"adjusted",4,5,2,2,3,2,3,4,1,"abandoned",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.33333333333333,3.33333333333333,NA,"F2",FALSE,NA,2,1,"abandoned",1
"A18JNQE5GZQIX5",3,3,NA,"long-term",6,5,3,6,7,1,6,4,5,3,3,6,5,1,7,7,7,9,7,7,7,"continued",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,7,3,7,7,7,"adjusted",2,NA,1.5,NA,3.33333333333333,"F3",FALSE,NA,3,7,"adjusted",2
