"AmazonIdentifier","baseline","F1"
"A3KNLR8H286IHT",1,0
"A3NRAEKWOKVUNN",1,1
"AHYTT3T8W9Y9Y",1,1
"A1R5W4RQZTROD8",1,1
"A1XUZFDVKP95VC",1,1
"A1G187YBG0DVMQ",1,1
"A2BJTPZLXIGO8D",1,1
"A2DVV59R1CQU6T",1,1
"A2ASTDMWBCFIP0",1,0
"AJ9O2ZA0E8UDZ",1,0
"AWVLT2L5AP873",1,1
"A3LL096CAY5WHB",1,0
"A3U4SSUB9ZZ9T0",1,1
"A2R9OK4M877ZCC",1,1
"A1O9PAK6THJ9Y7",1,1
"A2LT6KC1X51FVW",1,1
"A2AT6TSPPCR106",1,1
"A28J7H4TH29DC3",1,1
"A1VRG5HKZC0H0C",1,1
"A351LMMMFYPM7U",1,1
"A2NHFSO7GMM8QR",1,1
"A2VNSNAN1LZBAM",1,1
"A1720HSKGQ41VJ",1,1
"A26NGLGGFTATVN",1,1
"A30HUZHJBOX1LK",1,1
"A3KIZLHCD945UK",1,1
"A3AJJHOAV7WIUQ",1,1
"A4BDXOXC4D8FX",1,1
"A3VYBAO7UQQHGC",1,1
"AS2MFSWNC5CQI",1,1
"A1G5EPLJEGL381",1,1
"A1CTUG0RUGCY48",1,1
"A6R5AQ4D638BH",1,0
"A2KOR4003SVNC5",1,1
"A3OUNEJO97MM8E",1,1
"A7P3R1AIA4TVV",1,1
"A1OJV3R8BH73BD",1,1
"A121T4P5NKCHCS",1,1
"A3NLSGHK6RFXA8",1,1
"A1TPGXT718D68E",1,1
"AOS2PVHT2HYTL",1,1
"AM0QVBV8L6QCJ",1,1
"AHGDYNKOKJWFJ",1,1
"A2X3FSFHV5GHJU",1,1
"AFMAFX0P2YRRV",1,0
"A1F1TBDHPYAAXT",1,1
"AIA7RZSAONU5M",1,1
"A38BO0BRCQX6OV",1,0
"A2615YW1YERQBO",1,1
"A3OPRR8AXT6OSJ",1,1
"A286W816CMIZL9",1,0
"A3HXM7BGH18FOW",1,1
"A770OB1ZAGJ4G",1,1
"A17KN7NAP48L4B",1,1
"A22SZHZTF72TRM",1,1
"A1X388C6SDCDEY",1,1
"A110BZSDZN7E16",1,1
"A1D2ZSPIHOI23K",1,1
"A2VGFS03KCCR1Q",1,1
"A1BSVEBYDZ0AAU",1,1
"AYA1LRB27KSR1",1,1
"A132GRVDGXPJGY",1,1
"A39H9RIYRB5ZYV",1,1
"A19YQU3ZZ8USPO",1,1
"A2EK1HDV4I4GSK",1,1
"A1CI5U3BLQ2DDS",1,1
"A302KOFOYLD89A",1,1
"AHKRGPN5D3I2G",1,1
"A3GI28OVLDI9ST",1,0
"A3PSV85ZUXP9VF",1,1
"A2ZGAH6NOSU2PO",1,1
"A30FIPRPFQRBO6",1,1
"A21BXRUD15TQL8",1,0
"AKMOBFEEKW378",1,1
"A18SXC3JEN1O0U",1,1
"AKX5RHHO8BIUX",1,1
"A11F3MA5FWH6SJ",1,1
"A1MJWY7UO3CDSM",1,1
"A198MSVO1VTAT5",1,1
"A2CP6MLJVJYBO7",1,1
"AQMLJYUQCSG22",1,1
"A6JUD4NCQCDWG",1,1
"A2HQMB1GSEADL",1,1
"A1ABL45KAK12A5",1,1
"A2W0G89O7E9EFO",1,1
"A38DHLB88V8DL8",1,1
"A1WJYF201K77BI",1,1
"AADRZTXSE7211",1,1
"A2H6Q22X1V1FTX",1,1
"A2WZ8ZEB00LYF7",1,0
"ANZNAAS2K0DSY",1,1
"A18JNQE5GZQIX5",1,1
"A321WQIFK10UV3",1,1
"AXF0OX50YZQC6",1,1
"A26UAJWMMNN351",1,1
"AF0W4ZBY7VXOU",1,1
"ADYMIMV1PE14V",1,0
"A2VGEE0ZIZ8CBQ",1,1
"A3UUH3632AI3ZX",1,0
"A1RWNYJA5X25YH",1,0
"ASY5W2HJPIPF4",1,0
"A2SFFO79KSG5VA",1,1
"A34VLM2UC0JY11",1,1
"A1T83SZBP2DN65",1,1
"AVKMFV9CZ0MLR",1,1
"A3OAXRZT3MVJML",1,1
"A5E2P5F1AXYZ1",1,1
"A3GZXU4FUJTKZD",1,1
"A207IHY6GERCFO",1,1
"A225BMTMXUR5F4",1,1
"A1IBLFQ2E6VA2J",1,1
"A1AIMKA54UBYIQ",1,1
"AIHHRINW9IN1I",1,1
"A1Z2ZGPJRGG0G3",1,1
"AU34T9OMHN4Z4",1,1
"A11ILN5YSUDVG8",1,1
"A2GTBBZA2M82NR",1,0
"AMTTB8JUWRRM7",1,1
"AAHZCL4LIPCBQ",1,1
"A13O22EMG5ZVN0",1,1
"AQAXDL1INQC9Q",1,0
"A1LS7GARU7CD08",1,1
"A1RQUOVV8PCXBM",1,1
"A2FP41BSPG0Y4A",1,1
"AS6FM754MF2B2",1,1
"A3989GRV3UV5VW",1,1
"A1BG47GSHQ9WSU",1,1
"A2BEBDMQ7SI4IY",1,0
"A350SLJRMBIFM4",1,1
"A1BIJGB7XA0GME",1,1
"A5A14MTB35J23",1,1
"A3EXD5E390Z6B3",1,1
"A1U8LTCX5XYJ45",1,1
"A1SL72YBUW8Q8K",1,1
"A2SKOPFTRTNFUY",1,1
"A1ZT0TLZZTT47M",1,1
"A2PE32I58ANCDD",1,1
