"factor","term","estimate","std.error","statistic","p.value","conf.low","conf.high","rsq"
"Value","baseline rating",0.71,0.089,7.982,0,0.536,0.885,0.573
"Value","time-point: F2",-0.705,0.658,-1.071,0.285,-1.998,0.588,0.573
"Value","time-point: F3",-0.038,0.53,-0.071,0.943,-1.078,1.003,0.573
"Value","baseline rating:time-point: F2",0.139,0.119,1.168,0.243,-0.095,0.374,0.573
"Value","baseline rating:time-point: F3",0.036,0.094,0.383,0.702,-0.149,0.221,0.573
"External","baseline rating",0.886,0.078,11.346,0,0.733,1.04,0.521
"External","time-point: F2",0.359,0.452,0.794,0.428,-0.529,1.247,0.521
"External","time-point: F3",0.659,0.334,1.97,0.049,0.002,1.316,0.521
"External","baseline rating:time-point: F2",-0.082,0.117,-0.705,0.481,-0.311,0.147,0.521
"External","baseline rating:time-point: F3",-0.186,0.085,-2.187,0.029,-0.353,-0.019,0.521
"Attainability","baseline rating",0.386,0.095,4.079,0,0.2,0.571,0.647
"Attainability","time-point: F2",0.552,0.536,1.028,0.304,-0.502,1.605,0.647
"Attainability","time-point: F3",0.026,0.4,0.065,0.948,-0.76,0.812,0.647
"Attainability","baseline rating:time-point: F2",-0.152,0.14,-1.083,0.279,-0.427,0.123,0.647
"Attainability","baseline rating:time-point: F3",0.059,0.101,0.581,0.562,-0.14,0.258,0.647
"Consensus","baseline rating",0.804,0.057,14.061,0,0.692,0.916,0.653
"Consensus","time-point: F2",-0.175,0.303,-0.578,0.564,-0.771,0.42,0.653
"Consensus","time-point: F3",0.355,0.205,1.735,0.083,-0.047,0.758,0.653
"Consensus","baseline rating:time-point: F2",0.066,0.093,0.712,0.477,-0.116,0.248,0.653
"Consensus","baseline rating:time-point: F3",-0.069,0.063,-1.088,0.277,-0.192,0.055,0.653
"Measurability","baseline rating",0.578,0.095,6.077,0,0.391,0.765,0.399
"Measurability","time-point: F2",-0.518,0.874,-0.593,0.553,-2.234,1.198,0.399
"Measurability","time-point: F3",-0.4,0.629,-0.636,0.525,-1.635,0.835,0.399
"Measurability","baseline rating:time-point: F2",0.07,0.141,0.496,0.62,-0.207,0.346,0.399
"Measurability","baseline rating:time-point: F3",0.023,0.101,0.227,0.82,-0.176,0.222,0.399
"Instrumentality","baseline rating",0.618,0.075,8.241,0,0.471,0.766,0.467
"Instrumentality","time-point: F2",0.36,0.602,0.598,0.55,-0.822,1.543,0.467
"Instrumentality","time-point: F3",-0.257,0.414,-0.622,0.534,-1.07,0.556,0.467
"Instrumentality","baseline rating:time-point: F2",-0.053,0.122,-0.433,0.665,-0.292,0.186,0.467
"Instrumentality","baseline rating:time-point: F3",0.064,0.082,0.772,0.441,-0.098,0.225,0.467
