"factor","term","estimate","std.error","statistic","p.value","conf.low","conf.high","rsq"
"Value","baseline rating",0.722,0.053,13.606,0,0.618,0.826,0.571
"Value","recurrance",-0.546,0.387,-1.412,0.159,-1.305,0.214,0.571
"Value","short-term",-0.068,0.416,-0.163,0.871,-0.884,0.749,0.571
"Value","baseline rating:recurrance",0.083,0.068,1.229,0.22,-0.05,0.216,0.571
"Value","baseline rating:short-term",-0.001,0.073,-0.018,0.986,-0.145,0.143,0.571
"External","baseline rating",0.627,0.056,11.2,0,0.517,0.737,0.524
"External","recurrance",-0.628,0.269,-2.333,0.02,-1.157,-0.099,0.524
"External","short-term",-0.722,0.292,-2.469,0.014,-1.296,-0.148,0.524
"External","baseline rating:recurrance",0.128,0.072,1.78,0.075,-0.013,0.269,0.524
"External","baseline rating:short-term",0.172,0.076,2.256,0.024,0.022,0.322,0.524
"Attainability","baseline rating",0.392,0.066,5.952,0,0.263,0.521,0.643
"Attainability","recurrance",-0.035,0.297,-0.116,0.907,-0.618,0.549,0.643
"Attainability","short-term",-0.514,0.349,-1.475,0.141,-1.199,0.171,0.643
"Attainability","baseline rating:recurrance",-0.008,0.083,-0.095,0.924,-0.171,0.155,0.643
"Attainability","baseline rating:short-term",0.114,0.094,1.213,0.226,-0.07,0.298,0.643
"Consensus","baseline rating",0.761,0.045,16.771,0,0.672,0.85,0.653
"Consensus","recurrance",0.046,0.203,0.227,0.82,-0.352,0.444,0.653
"Consensus","short-term",-0.287,0.204,-1.403,0.161,-0.688,0.115,0.653
"Consensus","baseline rating:recurrance",-0.043,0.058,-0.737,0.462,-0.157,0.071,0.653
"Consensus","baseline rating:short-term",0.055,0.06,0.923,0.356,-0.063,0.173,0.653
"Measurability","baseline rating",0.542,0.066,8.225,0,0.412,0.671,0.407
"Measurability","recurrance",-0.395,0.479,-0.825,0.41,-1.336,0.546,0.407
"Measurability","short-term",0.059,0.604,0.098,0.922,-1.128,1.246,0.407
"Measurability","baseline rating:recurrance",0.066,0.078,0.842,0.4,-0.088,0.22,0.407
"Measurability","baseline rating:short-term",0.039,0.096,0.405,0.686,-0.15,0.228,0.407
"Instrumentality","baseline rating",0.638,0.056,11.338,0,0.527,0.748,0.469
"Instrumentality","recurrance",-0.35,0.381,-0.919,0.358,-1.099,0.398,0.469
"Instrumentality","short-term",-0.178,0.387,-0.46,0.645,-0.938,0.582,0.469
"Instrumentality","baseline rating:recurrance",0.049,0.073,0.675,0.5,-0.094,0.193,0.469
"Instrumentality","baseline rating:short-term",-0.003,0.076,-0.035,0.972,-0.153,0.148,0.469
