"MTurkCode","goal_order","content","goals","listNum","total_goal","goalType","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility","total_fac","total_con","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","priority","progress_base","satisfaction_base","Extraversion_mean","Agreeableness_mean","Conscientiousness_mean","Neuroticism_mean","OpenMindedness_mean","BSCS_mean","GSE_mean","GS_mean","LET_mean","PS_mean","RSE_mean","SWL_mean","PSS_mean","K10_mean","BAS_drive","BAS_funSeeking","BAS_rewardResponse","BIS","GAT_disengagement","GAT_reengagement","age","gender","gender_4_TEXT","race","ethnicity","occupation","education","marital_status","income","subjectiveSES","three_month_goals","Value_4","Clarity_4","External_4","Consensus_4","Value_6","External_6","Attainability_6","Consensus_6","Measurability_6","Instrumentality_6","endTime","initial_time","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3","final_time","miss_final","all_progress","progress_final","satisfaction_final","status_final","status","time_point","affordance_post","approach_avoidance_post","attainability_post","attainment_maintenance_post","attractiveness_achievement_post","attractiveness_progress_post","basic_needs_post","clarity_post","commonality_post","conflict_post","connectedness_post","construal_level_post","control_post","difficulty_post","end_state_specificity_post","external_importance_post","external_motivation_post","frequency_post","ideal_motivation_post","identified_motivation_post","importance_post","instrumentality_post","intrinsic_motivation_post","introjected_motivation_post","meaningfulness_post","measurability_post","ought_motivation_post","social_desirability_post","specificity_post","temporal_duration_post","visibility_post","adjusted_goals_F1","adjusted_goals_F2","adjusted_goals_F3","adjust_num","post_timePoint","Value_4_post","Clarity_4_post","External_4_post","Consensus_4_post","Value_6_post","External_6_post","Attainability_6_post","Consensus_6_post","Measurability_6_post","Instrumentality_6_post"
"AHYTT3T8W9Y9Y",1,"physical health","My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this. ",1,1,"recurrance",6,7,8,2,6,6,7,6,6,7,1,2,3,7,6,5,1,6,2,3,1,7,6,5,6,8,3,3,5,3,7,5,2,4,6,6,6,7,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,4,3.33333333333333,1,3.84615384615385,2.6,3.625,4,3,2.1,2.2,2.1,2,1.75,1.5,3.2,3.85714285714286,1.25,1.5,38,2,NA,"5",2,"Accounting Assistant ",4,1,3,3,"",4.8,5.71428571428571,3.8,4.25,5.28571428571429,3.33333333333333,3.5,4.25,7,4,NA,1,5,5,4,5,7,3,5,2,"continued",3,5,2,3,3,3,2,4,1,"continued",6,4,5,5,5,7,4,5,5,"continued",3,NA,3.16666666666667,3.83333333333333,2.66666666666667,"F3",FALSE,TRUE,7,5,"continued","continued","F3",5,1,8,6,6,6,5,4,6,1,2,3,6,5,1,2,1,2,7,6,6,4,3,5,3,7,3,5,6,3,2,NA,NA,NA,0,"F3",4.8,5,2.6,3.25,5.28571428571429,2.33333333333333,3,3.25,6.5,4
"A3KNLR8H286IHT",1,"leisure","I want to have my YouTube Channel hit 100 subscribers.",3,3,"short-term",7,7,7,7,3,4,4,6,6,1,1,7,6,7,6,4,3,1,1,2,2,7,7,7,7,8,7,6,3,7,7,1,1,4,4,7,4,7,2,6,1,2,1,4,4.24,1,0,1,0,1,0,3,0,1,2,3,3,2.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,1.46153846153846,3.1,2.375,4,2.5,1.8,6.2,1.9,2,3.25,2.75,3.8,3.14285714285714,3.5,3.83333333333333,32,1,NA,"1",1,"Self Employed",3,2,4,5,"",6.1,5.71428571428571,1.4,0.75,5.85714285714286,1.33333333333333,3.5,0.75,7,7,"in_weeks",1,6,2,2,1,1,4,5,1,"continued",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83333333333333,NA,NA,"F1",TRUE,NA,1,1,"continued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3KNLR8H286IHT",2,"physical health","I want to drop my weight down from 165 to 155.",3,3,"recurrance",7,7,8,1,5,5,7,7,7,7,1,5,4,7,4,6,3,3,3,1,2,7,7,7,7,7,7,5,7,7,7,5,5,2,5,7,7,7,2,7,3,2,1,1,0,1,0,1,0,1,0,0,0,3,4,4,3,2.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,1.46153846153846,3.1,2.375,4,2.5,1.8,6.2,1.9,2,3.25,2.75,3.8,3.14285714285714,3.5,3.83333333333333,32,1,NA,"1",1,"Self Employed",3,2,4,5,"",5.8,6,4.2,4,6,3.66666666666667,4.5,4,7,6.33333333333333,NA,2,1,7,6,7,10,3,7,7,"completed",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",2.33333333333333,NA,NA,"F1",FALSE,NA,10,7,"completed","completed","F1",7,2,11,NA,5,5,7,7,1,1,4,4,7,5,1,1,1,1,7,6,5,4,4,5,4,7,1,4,7,2,1,NA,NA,NA,0,"F1",4.9,6.42857142857143,1.8,2,5.14285714285714,1.66666666666667,5,2,7,5
"A3KNLR8H286IHT",3,"finance","I want to have at $1000 in my brokerage account.",3,3,"recurrance",2,7,3,1,7,7,5,7,5,4,1,2,6,7,6,5,3,7,5,3,1,5,7,5,7,8,7,1,7,7,7,1,4,4,4,7,4,7,3,7,1,2,1,1,0,1,0,4,4.24,1,0,0,3,2,0,1,3,2.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,1.46153846153846,3.1,2.375,4,2.5,1.8,6.2,1.9,2,3.25,2.75,3.8,3.14285714285714,3.5,3.83333333333333,32,1,NA,"1",1,"Self Employed",3,2,4,5,"",6.1,4.57142857142857,4.8,3,6.57142857142857,4.16666666666667,1.5,3,7,5.33333333333333,NA,1,1,7,7,7,11,4,7,7,"completed",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",1.5,NA,NA,"F1",FALSE,NA,11,7,"completed","completed","F1",7,1,11,1,7,7,5,7,4,1,4,4,7,4,1,7,1,1,7,7,7,6,1,7,7,7,4,4,7,2,1,NA,NA,NA,0,"F1",6,6.42857142857143,4,3,6.57142857142857,3.5,5.25,3,7,5.66666666666667
"A3NRAEKWOKVUNN",1,"finance","My goal is to earn at least $30 per week on Mturk.",2,2,"recurrance",4,6,8,4,3,4,3,6,3,2,2,3,1,5,3,3,3,1,2,3,1,4,4,4,4,6,3,2,1,3,7,1,1,2,3,6,4,6,3,3,2,3,1.5,4,NA,1,NA,2,NA,2,NA,3,0,1,7,5,1.33333333333333,2.66666666666667,2,4,2,2.92307692307692,1.9,2.625,3,2.45,1.1,3,1.6,1.5,2,2,2.8,3.42857142857143,4,3,32,2,NA,"5",2,"Accountant",5,2,6,7,"",3.2,4.85714285714286,1.4,1.75,3.28571428571429,1.5,3.75,1.75,6.5,3.66666666666667,NA,3,2,5,4,5,10,1,5,7,"continued",4,4,4,4,4,10,2,6,6,"continued",4,2,5,4,5,10,1,5,5,"continued",4,NA,2.66666666666667,2.33333333333333,2.5,"F3",FALSE,TRUE,10,5,"continued","continued","F3",3,1,10,7,3,3,2,6,2,2,4,1,5,3,2,1,2,2,5,3,3,2,2,2,4,7,1,4,5,1,1,NA,NA,NA,0,"F3",3.1,4.85714285714286,1.4,1.5,3.14285714285714,1.5,4,1.5,6,3.66666666666667
"A3NRAEKWOKVUNN",2,"finance","My goal is to have a net worth of $600K by 3/23/2022.",2,2,"long-term",3,7,4,7,4,4,3,4,3,2,1,4,1,4,7,3,3,3,3,1,2,4,5,4,3,1,4,4,1,3,7,4,1,2,4,4,5,7,4,3,1,3,1.5,2,NA,2,NA,4,NA,1,NA,0,3,2,7,3,1.33333333333333,2.66666666666667,2,4,2,2.92307692307692,1.9,2.625,3,2.45,1.1,3,1.6,1.5,2,2,2.8,3.42857142857143,4,3,32,2,NA,"5",2,"Accountant",5,2,6,7,"I need to save/grow my wealthy by $7,500 each month for the next 3 months.",3.9,4,1.8,1.5,3.42857142857143,1.66666666666667,1,1.5,7,4,NA,8,8,2,2,1,1,1,2,3,"continued",1,5,2,2,1,3,1,4,3,"continued",1,5,2,2,2,5,2,4,3,"continued",2,NA,3.33333333333333,2.5,3.16666666666667,"F3",FALSE,TRUE,5,3,"continued","continued","F3",1,1,5,1,5,2,2,4,3,2,2,4,5,6,1,2,2,1,5,5,3,5,3,1,5,6,2,6,6,4,1,NA,NA,NA,0,"F3",4.2,3.57142857142857,1.6,2,4.14285714285714,1.66666666666667,1,2,6,4
"AHGDYNKOKJWFJ",1,"physical health","I would like to lose 20 lbs",3,2,"short-term",5,7,7,7,5,6,6,5,5,7,2,2,4,6,5,7,3,5,2,3,2,6,5,5,6,6,5,2,5,2,7,6,2,4,4,6,6,6,4,4,6,2.5,2,2.5,0.71,2,0,3,1.41,2,0,0.5,1,1,0,4,4,2.66666666666667,2.66666666666667,4.33333333333333,2,2.53846153846154,2.6,3.25,2,3.4,0.9,1.8,2.4,3,3,2.5,3.2,3,4,4,33,1,NA,"5",2,"HR",4,1,4,5,"",4.6,4.85714285714286,4,4.25,4.85714285714286,3.66666666666667,3,4.25,6.5,4.33333333333333,"three_month",3,8,3,3,3,1,5,5,2,"continued",3,6,2,2,3,2,5,5,1,"continued",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,4,NA,"F2",TRUE,NA,2,1,"continued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHGDYNKOKJWFJ",2,"work/career development","I would like to get a better job",3,2,"short-term",6,7,9,7,4,4,4,6,6,5,2,2,5,5,5,4,1,3,2,3,2,5,5,6,6,7,4,2,3,5,4,5,2,2,5,7,6,5,3,5,4,2.5,2,2,0,2,0,2.5,0.71,2,0,0,0.5,2,5,5,4,2.66666666666667,2.66666666666667,4.33333333333333,2,2.53846153846154,2.6,3.25,2,3.4,0.9,1.8,2.4,3,3,2.5,3.2,3,4,4,33,1,NA,"5",2,"HR",4,1,4,5,"",4.5,4.71428571428571,2.8,3.25,4.85714285714286,2.66666666666667,4,3.25,4.5,3.66666666666667,"three_month",2,1,6,6,5,9,5,6,7,"completed",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1",2.5,NA,NA,"F1",FALSE,NA,9,7,"completed","completed","F1",6,1,10,2,5,6,5,5,5,2,2,5,5,4,4,5,5,1,6,6,6,5,2,3,5,6,3,6,6,3,5,NA,NA,NA,0,"F1",5,5.14285714285714,4.2,3.5,5.57142857142857,3.83333333333333,4.25,3.5,6,4
"AHGDYNKOKJWFJ",3,"house work","I would like to completely clean my house",3,2,"short-term",6,6,10,5,5,5,3,5,4,7,2,3,4,6,3,4,1,2,2,1,1,3,6,5,4,5,3,2,2,2,4,5,3,6,4,7,5,6,3,2,2,2.5,2,3,1.41,2,0,2,0,2,0,1,0,3,2,2,4,2.66666666666667,2.66666666666667,4.33333333333333,2,2.53846153846154,2.6,3.25,2,3.4,0.9,1.8,2.4,3,3,2.5,3.2,3,4,4,33,1,NA,"5",2,"HR",4,1,4,5,"",3.8,5,2.2,3.25,4.14285714285714,2.16666666666667,4.5,3.25,5,4,"in_weeks",4,5,3,3,4,3,4,6,3,"continued",3,5,3,3,5,3,6,6,2,"continued",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,2,NA,"F2",TRUE,NA,3,2,"continued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1R5W4RQZTROD8",1,"other","My goal is to train my new puppy to become a very well-trained dog over the next three months.",4,4,"long-term",6,7,9,7,6,6,1,7,7,3,2,1,5,3,5,7,1,2,1,1,1,2,7,7,7,4,2,4,1,3,6,6,1,2,5,7,6,5,3,5,6,1.25,2.58,1,0,2,1,1,0,2.67,2.89,-1,-1.67,1,1,4,3,1.33333333333333,3.33333333333333,1,1,2.61538461538462,3.5,3.625,4.83333333333333,3,3,5.4,0.5,1.1,3,3.5,2.2,1.28571428571429,2.75,2.66666666666667,40,1,NA,"2",2,"Education Director",4,1,4,5,"My goal is to train my puppy well, and the progress I anticipate over the next three months is creating a strong bond with her and getting her comfortable with crate training and basic commands.",4.4,4.85714285714286,2.2,1.5,5.14285714285714,2.16666666666667,4.25,1.5,5.5,2,NA,5,2,7,7,7,2,6,3,3,"continued",7,4,7,7,5,4,5,4,4,"continued",7,1,7,7,5,6,6,5,4,"continued",7,NA,2.5,2.5,2.16666666666667,"F3",FALSE,TRUE,6,4,"continued","continued","F3",5,2,9,1,7,7,3,5,3,2,2,3,3,5,3,4,5,2,3,7,7,2,5,4,5,3,4,6,6,3,7,NA,NA,NA,0,"F3",4.8,4.14285714285714,4.8,1.75,5.57142857142857,4.33333333333333,3.5,1.75,4.5,2.33333333333333
