"goalType","Attainability","final_time","progress_base","Value","continued","abandoned","completed"
"short-term",1,"F3",3.43564356435644,5.56577086280057,0.805191120109115,0.074946464592483,0.119862415298402
"recurrance",2,"F3",3.43564356435644,5.56577086280057,0.904362631551295,0.0589096469579671,0.0367277214907383
"long-term",3,"F3",3.43564356435644,5.56577086280057,0.912288308375032,0.030451045058449,0.0572606465665193
"short-term",4,"F3",3.43564356435644,5.56577086280057,0.677007839330904,0.0437706862648445,0.279221474404252
"recurrance",5,"F3",3.43564356435644,5.56577086280057,0.863733715423655,0.0390805950308036,0.0971856895455409
"long-term",6,"F3",3.43564356435644,5.56577086280057,0.835363772428884,0.0193679303175062,0.145268297253609
"short-term",7,"F3",3.43564356435644,5.56577086280057,0.4571235343976,0.0205286657333504,0.52234779986905
"recurrance",1,"F3",3.43564356435644,5.56577086280057,0.907055895214914,0.0667163123694821,0.0262277924156033
"long-term",2,"F3",3.43564356435644,5.56577086280057,0.923890955058028,0.0348212999482558,0.0412877449937164
"short-term",3,"F3",3.43564356435644,5.56577086280057,0.73171383797629,0.0534176894082904,0.21486847261542
"recurrance",4,"F3",3.43564356435644,5.56577086280057,0.884015279545483,0.0451642953383186,0.0708204251161982
"long-term",5,"F3",3.43564356435644,5.56577086280057,0.869569733711511,0.0227649218668981,0.107665344421591
"short-term",6,"F3",3.43564356435644,5.56577086280057,0.536396442868093,0.0271998934887748,0.436403663643132
"recurrance",7,"F3",3.43564356435644,5.56577086280057,0.795263536755139,0.0282217552674009,0.17651470797746
"long-term",1,"F3",3.43564356435644,5.56577086280057,0.93077282844073,0.0396115770690993,0.0296155944901712
"short-term",2,"F3",3.43564356435644,5.56577086280057,0.774287388431312,0.0638263762156622,0.161886235353026
"recurrance",3,"F3",3.43564356435644,5.56577086280057,0.897079851676463,0.0517512377867942,0.0511689105367429
"long-term",4,"F3",3.43564356435644,5.56577086280057,0.894681685958513,0.0264474904069165,0.0788708236345702
"short-term",5,"F3",3.43564356435644,5.56577086280057,0.611050878363702,0.0349874957694542,0.353961625866844
"recurrance",6,"F3",3.43564356435644,5.56577086280057,0.83465269752159,0.0334451327796328,0.131902169698778
"long-term",7,"F3",3.43564356435644,5.56577086280057,0.790654943996178,0.016234555259182,0.19311050074464
