"goalType","Value","final_time","progress_base","Attainability","continued","abandoned","completed"
"short-term",1,"F3",3.43564356435644,3.60272277227723,0.540642639252124,0.260378132477609,0.198979228270267
"recurrance",2,"F3",3.43564356435644,3.60272277227723,0.758199339929951,0.187847061367345,0.0539535987027032
"long-term",3,"F3",3.43564356435644,3.60272277227723,0.853777362975043,0.0796759176702476,0.0665467193547091
"short-term",4,"F3",3.43564356435644,3.60272277227723,0.668513883103016,0.0888275303934865,0.242658586503497
"recurrance",5,"F3",3.43564356435644,3.60272277227723,0.878321046980321,0.0600367586857384,0.0616421943339408
"long-term",6,"F3",3.43564356435644,3.60272277227723,0.906931412655187,0.0233506958378203,0.0697178915069929
"short-term",7,"F3",3.43564356435644,3.60272277227723,0.71702541393136,0.0262854036120263,0.256689182456614
"recurrance",1,"F3",3.43564356435644,3.60272277227723,0.688674830966336,0.262092282632633,0.049232886401031
"long-term",2,"F3",3.43564356435644,3.60272277227723,0.818561285369402,0.117341776119901,0.0640969385106971
"short-term",3,"F3",3.43564356435644,3.60272277227723,0.637443219109143,0.130106106776756,0.232450674114101
"recurrance",4,"F3",3.43564356435644,3.60272277227723,0.850698266485725,0.0893220154553429,0.0599797180589324
"long-term",5,"F3",3.43564356435644,3.60272277227723,0.895433395099208,0.0354142206105946,0.0691523842901973
"short-term",6,"F3",3.43564356435644,3.60272277227723,0.706234989213637,0.0397693369153935,0.253995673870969
"recurrance",7,"F3",3.43564356435644,3.60272277227723,0.910327625011287,0.0263708198644102,0.0633015551243027
"long-term",1,"F3",3.43564356435644,3.60272277227723,0.769901079147694,0.169533451632822,0.0605654692194834
"short-term",2,"F3",3.43564356435644,3.60272277227723,0.595282457930152,0.186637229609934,0.218080312459915
"recurrance",3,"F3",3.43564356435644,3.60272277227723,0.811608906934749,0.130902755724953,0.0574883373402976
"long-term",4,"F3",3.43564356435644,3.60272277227723,0.87847414517559,0.0533694102603187,0.0681564445640907
"short-term",5,"F3",3.43564356435644,3.60272277227723,0.690697704037266,0.0597456308047969,0.249556665157937
"recurrance",6,"F3",3.43564356435644,3.60272277227723,0.897378334002823,0.039931949073198,0.0626897169239794
"long-term",7,"F3",3.43564356435644,3.60272277227723,0.914679081380831,0.0153311633368848,0.0699897552822839
