"variable","mean","sd","n","min","max","skew","kurtosi"
"control",6.17890520694259,1.23129138670348,756,1,7,-1.86165676995734,3.47906031703338
"identified_motivation",6.12,1.18918131625806,756,1,7,-1.65913752634495,3.10638416543904
"specificity",6,1.36430690584389,756,1,7,-1.53530584404829,1.94564347505734
"measurability",6.08521970705726,1.30258509062983,756,1,7,-1.37594270343538,1.15024564418259
"importance",6.00266311584554,1.28374175688015,756,1,7,-1.22851090930306,0.734379961996233
"attractiveness_progress",5.76031957390146,1.2246673144449,756,1,7,-1.18517122056994,1.55475519445065
"attractiveness_achievement",5.924,1.06571024099284,756,1,7,-1.08475934540613,1.37670600261553
"social_desirability",5.8814913448735,1.26198400924562,756,1,7,-1.05677857116487,0.698013039080303
"basic_needs",5.36218375499334,1.84444608438118,756,1,7,-1.03345406245697,-0.0076861204468357
"clarity",5.73030707610147,1.35902707284387,756,1,7,-1.03059070800694,0.592521103189505
"ideal_motivation",5.43541944074567,1.55031946938953,756,1,7,-0.993324947708418,0.439270068957711
"attainability",8.14780292942743,3.01608883044107,756,1,11,-0.85089225639719,-0.508114736387606
"commonality",5.132,1.74775537909444,756,1,7,-0.745924878132725,-0.317782777421623
"affordance",5.20639147802929,1.59708456086101,756,1,7,-0.585781860903191,-0.503429817441106
"instrumentality",4.97587131367292,1.79767399439637,756,1,7,-0.566177414729321,-0.696931158204914
"visibility",4.7379679144385,2.0898946352994,756,1,7,-0.445507221693734,-1.126158444789
"meaningfulness",4.82933333333333,1.74248516826908,756,1,7,-0.413789408397671,-0.699052544219169
"difficulty",4.86817576564581,1.64922179660547,756,1,7,-0.400299629411181,-0.61317816957767
"frequency",1.64447403462051,0.511304954332442,756,1,3,-0.24029613008909,-1.1297961056138
"temporal_duration",3.23066666666667,0.907684642797219,756,1,5,-0.180493525373732,0.274968739864808
"construal_level",4.496,1.96887937195462,756,1,8,-0.0894279773403976,-0.958857526621707
"external_importance",4.18242343541944,2.08358920754469,756,1,7,-0.0855963555799639,-1.2429124478555
"connectedness",3.844,1.91569583198749,756,1,7,0.0607384407699315,-1.07336913319331
"introjected_motivation",3.77363515312916,2.15515443407411,756,1,7,0.06336510335258,-1.41937791799654
"attainment_maintenance",3.66266666666667,2.54876463352314,756,1,8,0.249463752201765,-1.64408944096883
"intrinsic_motivation",3.48331108144192,2.09884147713616,756,1,7,0.257306367997822,-1.28860717751061
"external_motivation",3.356,2.16660785240773,756,1,7,0.346903606182843,-1.33351408434613
"end_state_specificity",1.74465240641711,0.918520294254872,756,1,4,0.804336337925236,-0.690793371666552
"ought_motivation",2.77866666666667,1.94629450631089,756,1,7,0.829742385047268,-0.549891865756171
"conflict",2.42857142857143,1.69909875899518,756,1,7,1.08101417030669,0.215305386872952
"approach_avoidance",1.94274300932091,1.67512703971999,756,1,8,1.93102164867474,2.91187902025448
