"","variable","corr","pcorr","corr_F1","pcorr_F1","corr_F2","pcorr_F2","corr_F3","pcorr_F3","corr_short","pcorr_short","corr_long","pcorr_long","corr_re","pcorr_re","corr_continued","pcorr_continued","corr_completed","pcorr_completed","corr_abandoned","pcorr_abandoned"
"1","construal_level",0.488832536109028,0.479130587529498,0.349859158542673,0.342874596979729,0.248636129077704,0.219547802486057,0.542961901361096,0.529647660899269,0.359212393903953,0.355142132332837,0.457792106660966,0.452301529630323,0.586663822972405,0.577185098637208,0.566890990516,0.555189170964547,0.320713157728775,0.31332366555774,0.360895608421966,0.381256754822773
"2","specificity",0.539326501021233,0.530270059876992,0.494211394847928,0.427223365162733,0.586758321481998,0.585512940402292,0.541182140606657,0.536934102614202,0.5531721832621,0.561560232385306,0.440246696608108,0.447810790374708,0.563723096173306,0.55214956875568,0.543878433869859,0.542343561903126,0.579283721600202,0.581939478172161,0.406434635587239,0.408731668992046
"3","measurability",0.518408281856521,0.503969445772213,0.604008715893562,0.557345483559437,0.539647251093626,0.530588583810867,0.514345518572359,0.505585013301418,0.453306923752969,0.454279466620315,0.530138669728293,0.527398419141668,0.533853718830581,0.515497949576016,0.556212832715608,0.547660552809463,0.401902784354816,0.367825675972091,0.526712397198993,0.509954149391515
"4","importance",0.60420785534381,0.6112002253868,0.579904215881393,0.486562088402585,0.569771426513661,0.519406369195847,0.613802852364011,0.625529186585221,0.582219022432969,0.572217540987447,0.627762567823804,0.63118549073878,0.609240745306053,0.638666873457549,0.65437381844604,0.663136164158309,0.638247881185611,0.637969726574367,0.345523286599436,0.318408306948526
"5","meaningfulness",0.568426327673746,0.557457241643099,0.389949736716352,0.390186996444975,0.703665212090275,0.617883446967144,0.581516323202327,0.576182713552379,0.563706641365022,0.545924171151505,0.544958054033304,0.530334638636941,0.586512436767361,0.5835602337101,0.574954503561899,0.574286977159792,0.535499927763698,0.530427161359922,0.564541057792051,0.564154941194701
"6","instrumentality",0.63115885427404,0.632309024206118,0.712479650925563,0.699559434755398,0.596204420159917,0.591439248506749,0.620563614156331,0.624182104804168,0.550778102938058,0.567695486971598,0.644921704015375,0.638799588895771,0.690419908120174,0.686707638420063,0.630308621086861,0.630370679190949,0.672703185029004,0.683753532211992,0.525044414421881,0.518346255978185
"7","connectedness",0.545719189703273,0.550700728490825,0.479156870937133,0.467549169469466,0.419514088782397,0.44456776403987,0.569463495743861,0.574210682482212,0.601178135539109,0.616698769223267,0.375178617834768,0.377094491050135,0.609410823810065,0.614872622248882,0.570565698093347,0.572467637983021,0.475438188111486,0.470283749976474,0.497096940612187,0.519148671107229
"8","attractiveness_achievement",0.595149038970385,0.597042581582006,0.567431782873564,0.55220952510722,0.679007844600509,0.679178844069923,0.581875706179598,0.579823733835507,0.675745537231976,0.677129094479846,0.5226078135155,0.522339318788212,0.581056873592388,0.593245640749331,0.589248259217346,0.584879764619344,0.652249891285509,0.663836030182609,0.5238712870794,0.554202191197797
"9","attractiveness_progress",0.522527949931992,0.530436618267926,0.289641360256883,0.287502296511923,0.665048057254427,0.65850034647205,0.51986488267726,0.524417898568495,0.491150176797916,0.505653969733019,0.37630211941636,0.376830995348228,0.633426317925614,0.631629996169931,0.498599563301782,0.503702262805119,0.640693592638229,0.671255876285863,0.449327070610858,0.444733129836526
"10","social_desirability",0.577559306539616,0.575598375380247,0.67742833561686,0.678661848830525,0.38429755914873,0.418418839084319,0.584864492459742,0.582787880361269,0.615232232920581,0.617632499289875,0.566680687922271,0.561690736346467,0.572780112857994,0.57109697417125,0.581531333735069,0.579320399737236,0.549555956635434,0.541466905006025,0.58318742706845,0.579691017232226
"11","difficulty",0.531048540715218,0.513373942364139,0.470774384858112,0.495031988968633,0.406599769947534,0.394683789811187,0.554550905550185,0.533140973336573,0.470151396419298,0.461968867746865,0.498186226131875,0.474339479007026,0.570767887585481,0.539797663406839,0.569704403882744,0.545667443993518,0.464172154970245,0.470209082257682,0.413153301729732,0.396476601316623
"12","affordance",0.418635775344836,0.393430452635557,0.480504857350772,0.508367759004235,0.112841736237149,0.134731854006856,0.458911143391238,0.414095307884198,0.326833433612054,0.357338987391337,0.429203024818619,0.332567316680335,0.47567945822959,0.450655159925758,0.482734234650604,0.428851663566534,0.375776151327889,0.355788023576784,0.356766360112085,0.36662525768349
"13","attainability",0.446660213334603,0.28762939979049,0.47239197564295,0.188944912282151,0.441657802932275,0.0735855120153652,0.451084684655138,0.331149819571965,0.41348993720222,0.29386539923979,0.446986450700518,0.31009794235658,0.452543829374737,0.268423392339004,0.446758468364208,0.358875652288316,0.177002110767845,-0.0182821722375793,0.266905459230604,0.277070244003424
"14","clarity",0.401125497253779,0.36455859575102,0.40447919750316,0.440382774581163,0.318851885551272,0.316907684085374,0.416286755057083,0.371623797081394,0.268469139017271,0.190007585969377,0.457836438335056,0.483709534464911,0.452023327419991,0.415873097249604,0.474046261007001,0.43395341229041,0.307486960022028,0.27292885447066,0.317450097930345,0.318873827575478
"15","control",0.526504539066403,0.531736038762498,0.443809784697146,0.403446422597127,0.38827957741334,0.398393333464561,0.573847546680406,0.577192907985718,0.432000368987793,0.437109302604158,0.586944191523877,0.583332121677125,0.565628242887929,0.573827143459803,0.606558053895541,0.610509212959272,0.456659185244568,0.477861718671439,0.35702322165763,0.359088680728258
"16","external_motivation",0.607629945318813,0.605764505057209,0.586059792089238,0.596340409909428,0.699494595019449,0.70165398521381,0.598255458524779,0.597516781251538,0.645504410238472,0.636150612168881,0.516599337031352,0.522620268270519,0.630770657167194,0.6318917512289,0.607165545459325,0.607163306497645,0.636065600351216,0.638994978432626,0.512445961597845,0.513297107774382
"17","introjected_motivation",0.528764332687891,0.52721994300974,0.45259269773119,0.436561970231699,0.567693675577493,0.575730017548194,0.539591154384403,0.537484225402524,0.54975997112393,0.528874362498715,0.368418781154593,0.384258960164794,0.618937336738184,0.616573565801409,0.51378196890668,0.510977613670116,0.588140696369251,0.589965568088079,0.454590922895502,0.448247109230063
"18","identified_motivation",0.5985507794414,0.596788686714666,0.599616279099073,0.560903313568543,0.726799148756359,0.719494328549533,0.5642946129709,0.563521860727619,0.571867828395098,0.573881569611865,0.538928002403255,0.52960084768332,0.656169675518562,0.654632521413022,0.592353741127165,0.592052090842776,0.645301097487048,0.651998930586955,0.494191069423227,0.488447331101046
"19","intrinsic_motivation",0.731869007550446,0.724857656660403,0.856496890481555,0.864682070869532,0.620694515135019,0.631246817554888,0.727343400724028,0.715818413851484,0.751862970175296,0.747580380707608,0.686005181296377,0.676215873492169,0.747794016692669,0.73673543006712,0.719831960987441,0.707768999888555,0.745561895482182,0.748946677157471,0.780097488279179,0.78097846113913
"20","ought_motivation",0.569414364390983,0.566484956793188,0.609080335181715,0.617499424077225,0.541263713664328,0.561184017214378,0.564041215146649,0.559309832796222,0.552856773316092,0.564088448183338,0.52567948062461,0.506220997688264,0.622140610462617,0.621566008024415,0.579692649797032,0.573480362032836,0.570925965840157,0.570458392724589,0.53378031625597,0.579063183665781
"21","ideal_motivation",0.586103885504718,0.588892642249094,0.489977951488263,0.526928252046407,0.465117632618926,0.475090405287466,0.619385726277062,0.622373072811701,0.55704763222814,0.550353713712789,0.593548490053175,0.595987005121405,0.585574420467999,0.583676527055212,0.630741116571058,0.632049053519093,0.487150772843116,0.482947974492932,0.59460598137936,0.600593658410054
"22","basic_needs",0.640976169087897,0.642273328217794,0.718508787617298,0.764419745398057,0.783119353658224,0.784609622171117,0.601346986572371,0.602898827134874,0.718448271253103,0.718492034028221,0.614936237476782,0.623910709073208,0.567110911078381,0.566658435191847,0.571158191384327,0.573815390290574,0.78292123703867,0.783740136455233,0.683671916201446,0.692355257982764
"23","commonality",0.680615706251583,0.679836433332412,0.650563863639495,0.651375036149627,0.675497288279213,0.701288520903836,0.684377575456167,0.683894656692867,0.667302435402401,0.665971419070853,0.676893340521448,0.677835849098905,0.692067616083459,0.692782937570804,0.692023755583811,0.691543313398515,0.649313860730992,0.650831966392408,0.676810684628125,0.681698983817577
"24","visibility",0.650404933609574,0.641928858969669,0.772131479802266,0.765715913772303,0.532012338834626,0.538892074933585,0.643555934314207,0.633210905848519,0.61489137019282,0.615792836091388,0.597825495119446,0.545186309063065,0.688061684708981,0.688484111750821,0.655518643272077,0.650753771204695,0.665614991479026,0.654342405392705,0.596147312814858,0.609536943519851
"25","external_importance",0.572821734877613,0.56384268376175,0.713703169817705,0.705803805579531,0.554102026335811,0.538398926040719,0.553489306536581,0.546583198079634,0.583859800662838,0.589051353825696,0.580564179189606,0.568179451322105,0.55020415342371,0.535459213392616,0.530912644906457,0.527960048794054,0.623060860056027,0.614268888802691,0.646169914726069,0.646218365308322
"26","conflict",0.524477446358201,0.524362347803149,0.603747287023438,0.598354049567595,0.544216803419072,0.521993325207801,0.506430801737739,0.507196371792785,0.56403083434302,0.555378971395401,0.483867167219014,0.497800611733079,0.535216079409907,0.531941530175819,0.476240078064566,0.476999946857194,0.600392680880707,0.576438628310066,0.593899826184995,0.586751419430735
